timestamp_us,rssi,channel,mac,csi_len,csi_data
831812458,-47,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;3;32;3;26;4;21;6;15;9;10;12;6;16;3;20;0;24;-1;27;-1;29;-1;31;1;31;3;30;5;28;6;25;8;21;8;17;6;13;4;10;1;8;-3;8;-6;8;-9;9;-12;10;-14;2;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-1;-8;-2;-9;1;-10;5;-12;9;-15;12;-18;14;-21;15;-25;15;-27;14;-29;12;-28;9;-27;7;-24;6;-21;5;-16;6;-12;7;-7;9;-3;12;2;16;5;20;8;25;9;29;10;34;9;37;8;39;7;39;-126;0;-1;13;-1;12;-1;12;-1;11;-1;11;-1;10;-1;10;-1;11;0;11;0;10;0;10;0;9;0;9;-1;9;-1;9;-1;10;-1;10;-1;9;-1;9;-2;8;-2;8;-3;7;-3;7;-4;7;-4;7;-4;6;-4;6;-4;5;-2;1;-1;0;0;-1;-1;-1;0;-1;0;0;0;2;0;7;-1;7;-1;7;-2;8;-2;8;-2;9;-2;9;-2;9;-3;9;-3;9;-4;9;-4;9;-4;10;-4;10;-4;10;-3;10;-3;9;-4;9;-4;9;-4;10;-4;11;-3;11;-3;11;-2;11;-2;11;-2;11;-2;11;-3;11;-126;0;14;22;14;21;15;21;14;21;14;20;14;20;14;19;13;19;13;18;14;17;14;16;14;16;13;16;13;16;12;16;11;16;11;15;10;15;10;15;9;15;8;15;8;14;7;14;7;13;6;13;5;13;4;13;4;13;1;4;0;1;-1;-1;-1;-1;-1;-1;0;1;2;4;8;12;7;13;7;13;6;14;6;14;6;14;6;15;7;16;7;17;7;17;6;18;6;18;7;18;7;18;7;18;7;19;7;19;8;19;8;19;9;20;9;20;10;20;11;21;12;21;13;21;14;22;14;22;14;22
832012388,-47,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;26;18;22;14;19;10;15;4;13;-2;11;-7;10;-13;10;-18;11;-22;13;-25;14;-27;16;-28;18;-28;20;-26;20;-23;20;-20;18;-16;15;-13;11;-11;6;-9;1;-9;-3;-9;-6;-11;-8;-13;-9;-15;-3;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;0;-7;3;-5;5;-4;10;-3;14;-3;19;-5;23;-7;26;-10;28;-13;29;-15;29;-16;26;-16;23;-15;20;-12;17;-9;14;-4;12;1;10;7;9;14;9;19;9;25;10;30;12;34;14;36;17;37;19;37;20;-127;0;7;11;7;11;7;10;7;10;7;10;7;10;7;10;7;9;7;9;7;8;7;8;7;8;7;8;6;8;6;8;6;9;6;9;5;8;5;8;4;8;3;8;3;8;3;8;2;8;2;8;1;8;0;7;0;7;-1;2;-1;0;-1;-1;-1;-1;-1;-1;0;0;2;2;5;6;5;6;5;7;5;7;5;8;5;8;5;9;5;9;4;9;4;10;4;10;4;10;4;11;4;11;4;11;4;10;4;10;4;10;4;10;4;11;5;11;5;11;6;11;6;11;6;11;6;11;7;11;7;11;-127;0;25;8;25;7;25;7;25;7;24;6;24;6;23;6;22;6;22;5;21;5;21;4;21;4;21;4;20;4;20;5;19;5;19;5;18;6;17;6;17;6;16;7;15;7;14;7;14;7;13;7;12;7;11;8;11;8;3;3;1;1;-1;-1;-1;-1;-1;-1;1;0;5;1;14;3;14;4;14;5;14;5;15;6;15;6;15;7;16;7;16;8;17;8;17;8;17;9;17;9;18;9;18;9;18;9;18;9;19;9;19;9;20;9;20;9;21;9;22;8;23;8;24;8;25;8;25;8;26;8
832212303,-46,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-9;27;-7;22;-4;19;0;15;4;12;9;10;13;8;17;8;21;8;23;10;24;11;25;13;24;14;23;15;20;16;17;15;14;14;11;11;9;8;8;4;8;0;9;-3;11;-5;13;-6;14;-7;3;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-1;-7;-3;-8;-1;-10;2;-13;4;-16;6;-20;7;-23;6;-26;5;-28;3;-28;1;-27;-1;-25;-2;-22;-3;-19;-2;-15;0;-12;3;-9;6;-6;10;-4;15;-3;20;-2;24;-3;29;-4;32;-6;35;-7;35;-8;35;-125;0;-8;9;-7;9;-7;9;-6;8;-6;7;-6;7;-7;7;-7;8;-6;8;-5;8;-5;8;-5;7;-5;7;-5;6;-6;6;-6;7;-6;7;-5;7;-5;6;-5;5;-6;4;-6;4;-6;4;-6;4;-6;3;-6;3;-6;2;-6;2;-2;0;-1;0;0;-1;0;-1;0;-1;-1;0;-2;2;-4;5;-5;5;-5;5;-6;5;-6;5;-6;6;-6;6;-6;6;-6;5;-7;5;-7;5;-8;5;-8;5;-8;6;-8;6;-8;6;-8;6;-8;5;-8;5;-8;6;-9;6;-8;7;-8;8;-7;8;-7;8;-7;7;-8;7;-8;7;-125;0;1;24;2;24;2;24;2;23;2;23;2;22;2;22;2;21;3;20;3;19;3;19;3;19;3;19;3;19;3;18;2;18;2;17;2;17;1;17;1;16;0;16;0;15;0;14;-1;14;-1;13;-1;13;-2;13;-3;12;-1;4;-1;1;0;-1;-1;-1;0;-1;0;1;0;4;0;13;-1;13;-1;13;-2;14;-2;14;-2;14;-2;15;-2;15;-3;16;-3;17;-3;17;-3;17;-3;17;-3;17;-3;18;-3;18;-3;18;-3;19;-3;19;-2;19;-2;20;-1;21;-1;21;0;22;0;23;1;23;1;24;1;24
832412322,-47,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;23;-18;19;-16;14;-15;8;-14;3;-14;-2;-15;-7;-17;-10;-19;-13;-21;-15;-24;-16;-26;-15;-28;-13;-29;-10;-29;-8;-28;-6;-25;-4;-22;-3;-18;-3;-14;-5;-10;-7;-7;-10;-4;-13;-3;-16;-3;-18;-4;-5;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;6;4;10;3;14;3;18;4;21;6;24;9;25;11;25;14;25;15;22;16;20;16;17;14;15;12;12;8;11;3;10;-2;11;-7;12;-12;15;-17;17;-21;20;-24;23;-27;25;-28;27;-28;28;-27;-126;0;25;-3;24;-4;22;-4;21;-4;20;-4;20;-3;20;-3;20;-4;20;-5;20;-5;19;-5;18;-5;17;-4;18;-3;18;-2;19;-2;19;-2;18;-2;17;-1;17;0;16;1;15;2;15;3;15;4;14;4;13;5;12;5;11;6;3;2;1;0;-1;-1;-1;0;-1;0;1;-1;5;-2;14;-5;14;-4;15;-3;16;-2;17;-1;17;-2;18;-2;18;-2;18;-1;18;0;19;1;20;2;20;2;21;2;21;1;20;1;20;1;19;1;20;2;21;2;22;1;22;0;22;-1;22;-2;22;-2;22;-2;22;-1;23;-1;-126;0;33;-40;32;-41;32;-41;31;-40;30;-40;29;-39;28;-38;27;-37;26;-36;25;-35;24;-35;24;-34;24;-34;24;-33;24;-33;24;-31;24;-30;24;-29;24;-28;24;-27;24;-25;24;-23;23;-22;23;-20;23;-19;23;-17;23;-16;23;-14;8;-5;2;-2;-1;0;-2;1;-1;0;1;-3;6;-9;18;-24;19;-23;20;-22;21;-22;22;-22;22;-22;23;-23;24;-24;26;-24;27;-25;28;-25;29;-25;29;-25;30;-25;30;-26;30;-26;31;-27;31;-27;31;-28;31;-29;31;-31;31;-33;31;-34;32;-36;33;-38;33;-39;34;-40;34;-40
832612265,-47,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;18;-21;14;-18;10;-16;5;-14;0;-13;-6;-13;-10;-13;-14;-14;-17;-16;-20;-18;-21;-20;-21;-21;-19;-23;-17;-24;-15;-23;-12;-21;-9;-19;-7;-15;-6;-11;-7;-7;-8;-4;-10;-1;-12;1;-15;2;-17;2;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;6;3;10;2;13;1;17;2;21;4;24;6;25;9;25;11;24;13;23;13;20;13;17;12;14;10;12;6;10;2;9;-3;9;-8;9;-14;11;-18;13;-23;15;-26;17;-29;19;-31;21;-31;22;-31;-126;0;23;-1;23;-1;22;-1;22;-1;21;-2;21;-2;20;-2;20;-2;19;-2;19;-3;19;-3;18;-3;18;-2;18;-2;18;-1;18;0;18;1;17;1;17;2;16;2;16;3;15;4;14;4;13;5;12;5;11;6;10;7;9;7;3;2;0;1;-1;-1;-1;0;-1;0;1;-1;5;-2;14;-5;15;-4;16;-3;16;-2;17;-2;17;-1;18;-1;18;0;19;0;19;1;19;1;19;2;20;2;20;2;20;2;20;2;20;3;20;3;20;3;20;3;21;2;21;2;21;1;22;1;22;0;23;0;23;0;24;0;-126;0;34;-36;34;-36;33;-35;32;-35;31;-34;30;-34;29;-33;28;-32;27;-31;27;-30;26;-29;26;-28;26;-28;26;-28;26;-28;26;-27;26;-26;26;-24;26;-23;25;-21;25;-20;24;-18;24;-17;24;-15;24;-14;24;-12;24;-11;23;-9;8;-3;2;-1;-1;0;-1;1;-1;0;1;-3;5;-8;16;-22;17;-22;19;-21;20;-21;21;-21;21;-21;22;-22;23;-22;24;-23;25;-23;26;-23;27;-23;28;-22;29;-22;30;-22;30;-23;30;-24;30;-24;30;-25;30;-26;31;-28;31;-29;31;-30;32;-32;32;-32;33;-34;34;-35;35;-35
832812485,-47,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;28;8;23;6;19;2;16;-2;13;-7;12;-11;11;-16;11;-19;12;-22;14;-25;15;-26;17;-26;19;-24;20;-22;20;-20;19;-16;16;-13;13;-11;9;-10;5;-10;2;-10;-1;-12;-3;-14;-3;-17;-3;-19;-1;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;-1;7;1;8;5;9;7;12;10;16;11;19;10;23;9;26;7;28;5;28;3;27;1;25;0;22;1;18;2;14;5;11;8;7;13;4;18;2;23;1;27;1;32;2;35;3;37;5;38;7;38;8;-110;0;5;10;5;10;5;9;5;9;5;8;5;8;5;8;5;8;5;8;5;8;5;7;5;7;4;7;4;7;4;7;4;7;3;7;3;7;3;7;2;7;2;7;1;7;1;7;0;7;0;6;-1;6;-1;6;-2;6;-1;2;-1;0;-1;-1;-1;-1;-1;-1;0;0;1;1;5;4;5;5;4;5;4;6;4;6;4;7;4;7;4;7;4;7;4;8;4;8;4;8;4;8;4;9;4;9;3;9;3;9;3;9;3;9;3;9;4;9;4;9;5;9;5;9;5;9;5;9;5;9;5;10;-110;0;26;5;26;5;25;4;25;4;24;4;24;4;23;4;23;4;22;3;21;3;21;3;21;3;21;3;20;3;20;3;19;4;19;4;18;4;18;5;17;5;16;5;15;6;15;6;14;6;13;6;12;7;12;7;11;8;3;2;1;0;-1;-1;-1;-1;-1;-1;1;0;5;0;14;1;14;2;14;2;15;3;15;3;15;3;16;4;16;4;17;5;17;5;17;5;18;6;18;6;18;6;18;6;19;6;19;6;19;6;20;6;20;6;21;6;22;5;22;5;23;5;24;5;25;5;25;5;26;5
833012363,-47,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-30;7;-25;7;-19;8;-14;10;-9;12;-5;15;-2;19;0;22;2;26;2;28;1;30;0;31;-3;31;-5;30;-6;27;-7;24;-7;20;-6;16;-3;13;0;10;4;9;7;8;10;9;12;10;13;12;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-2;-4;-8;-6;-7;-10;-8;-14;-9;-18;-11;-20;-14;-22;-17;-22;-21;-21;-23;-20;-24;-17;-24;-14;-23;-12;-20;-11;-17;-10;-12;-11;-8;-12;-3;-15;2;-18;6;-22;10;-26;12;-30;14;-34;16;-37;15;-38;14;-38;13;-125;0;-13;-5;-12;-4;-12;-4;-11;-4;-11;-4;-11;-3;-11;-3;-11;-3;-10;-3;-10;-2;-10;-3;-10;-3;-9;-3;-9;-3;-9;-3;-9;-4;-9;-4;-9;-4;-9;-4;-8;-4;-8;-5;-7;-5;-7;-5;-7;-6;-6;-6;-6;-6;-5;-6;-4;-6;-2;-3;-1;-1;0;0;0;0;0;0;-1;-1;-3;-1;-8;-2;-8;-2;-8;-3;-8;-3;-8;-4;-9;-4;-9;-4;-9;-4;-10;-4;-10;-5;-9;-5;-10;-6;-10;-6;-10;-6;-10;-6;-10;-6;-10;-5;-10;-6;-10;-6;-10;-6;-10;-6;-10;-6;-11;-5;-11;-5;-11;-5;-11;-5;-11;-5;-12;-6;-125;0;-25;13;-24;13;-24;13;-23;13;-23;13;-22;13;-21;13;-21;13;-20;12;-20;12;-19;12;-19;11;-19;11;-19;11;-18;11;-18;10;-18;10;-18;9;-18;8;-17;8;-17;7;-16;6;-16;5;-15;5;-15;4;-15;3;-15;3;-15;2;-6;0;-2;0;0;-1;0;-1;0;-1;-2;0;-5;2;-14;7;-14;7;-15;6;-15;6;-15;6;-16;6;-16;6;-17;6;-18;6;-18;6;-19;6;-19;6;-20;6;-20;6;-20;6;-20;6;-20;6;-21;7;-21;7;-21;8;-22;9;-22;10;-22;10;-23;11;-24;12;-24;12;-25;12;-25;12
833212409,-48,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;26;-11;21;-10;15;-10;9;-11;3;-13;-2;-15;-6;-18;-10;-21;-12;-23;-14;-26;-14;-28;-13;-30;-12;-31;-9;-30;-7;-28;-5;-25;-3;-22;-3;-17;-4;-13;-5;-8;-8;-5;-11;-2;-14;-1;-17;-1;-19;-1;-5;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;5;3;6;7;8;11;10;14;14;16;17;16;21;16;24;15;26;13;27;10;26;8;24;7;21;6;17;6;12;7;6;9;1;12;-4;16;-9;20;-12;24;-15;28;-18;31;-19;34;-19;35;-18;36;-17;-124;0;14;1;13;0;12;0;12;0;11;0;11;0;11;0;11;0;11;-1;11;-1;10;-1;10;-1;10;-1;10;0;10;0;10;0;10;0;10;0;9;1;9;1;8;1;8;2;8;2;7;3;7;3;7;3;6;4;5;4;2;1;0;0;-1;-1;-1;0;-1;-1;0;-1;3;-1;8;-1;8;0;8;0;9;1;9;1;10;1;10;1;10;1;10;2;10;2;10;3;11;3;11;3;11;3;11;3;10;3;10;3;10;3;10;3;11;3;11;3;12;3;12;2;12;2;12;2;12;2;12;2;12;2;-124;0;18;-19;18;-19;17;-19;17;-19;16;-18;16;-18;15;-18;15;-17;14;-17;14;-17;13;-17;13;-16;13;-16;13;-16;13;-16;13;-15;13;-15;13;-14;13;-13;13;-13;13;-12;13;-11;12;-10;12;-10;12;-9;12;-8;12;-7;12;-7;4;-3;1;-1;-1;0;-1;0;-1;0;1;-2;3;-4;10;-11;11;-10;11;-10;12;-10;12;-10;12;-10;13;-10;13;-10;14;-11;15;-11;15;-11;16;-11;16;-11;16;-11;16;-11;16;-11;16;-12;17;-12;17;-12;17;-13;17;-14;17;-15;17;-15;17;-16;18;-17;18;-18;19;-18;19;-18
833412301,-47,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;24;10;21;7;18;3;15;-2;13;-7;13;-11;13;-16;14;-19;15;-22;17;-23;18;-24;20;-23;21;-22;21;-19;20;-17;18;-14;16;-11;12;-10;8;-9;4;-10;1;-11;-1;-13;-2;-15;-2;-18;-2;-19;-1;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;-2;7;1;8;3;11;5;14;6;18;7;21;6;25;4;27;2;28;-1;28;-3;26;-4;23;-4;20;-2;16;0;13;4;10;8;7;13;5;18;5;23;4;27;5;31;7;34;8;35;10;35;12;34;13;-122;0;7;8;7;8;7;7;6;7;6;7;6;7;6;7;6;7;6;6;6;6;6;5;6;5;5;5;5;6;5;6;5;6;5;6;5;6;4;6;4;6;3;6;3;6;2;6;2;6;2;6;1;6;1;6;0;6;0;2;-1;0;-1;-1;-1;-1;-1;-1;0;0;1;1;5;4;4;5;4;5;4;6;4;6;5;7;5;7;5;7;5;7;4;7;4;8;4;8;4;9;4;9;4;8;4;8;4;8;4;8;4;8;4;9;5;9;5;9;6;8;6;8;6;8;5;8;5;9;5;9;-122;0;25;-3;25;-4;25;-4;25;-4;24;-4;24;-4;23;-4;22;-5;21;-5;21;-5;20;-5;20;-5;20;-5;20;-5;19;-4;19;-4;19;-4;18;-4;18;-3;18;-3;17;-2;16;-1;16;-1;15;-1;14;0;14;0;14;1;13;2;4;0;1;0;-1;-1;-1;0;-1;-1;1;-1;5;-1;14;-1;14;0;14;0;14;1;14;1;15;1;15;1;16;1;17;1;17;2;18;2;18;2;18;2;18;2;19;2;19;2;19;2;20;2;20;2;20;1;21;0;22;0;22;-1;23;-2;24;-2;25;-2;25;-2;26;-3
833612429,-47,8,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-29;6;-23;6;-17;8;-12;10;-7;14;-3;17;0;21;2;25;3;28;3;30;2;32;0;33;-2;32;-3;31;-5;28;-6;24;-5;20;-3;16;-1;12;3;9;7;7;10;7;13;7;16;9;17;11;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-2;-3;-8;-6;-8;-10;-10;-13;-13;-16;-16;-17;-19;-18;-23;-17;-26;-16;-28;-14;-28;-11;-27;-9;-25;-8;-22;-7;-17;-8;-12;-10;-7;-12;-3;-16;2;-20;6;-25;9;-29;11;-33;12;-37;13;-39;12;-40;11;-40;9;-122;0;-12;-7;-12;-7;-12;-6;-11;-6;-11;-6;-11;-6;-11;-6;-11;-5;-10;-5;-10;-5;-10;-4;-10;-4;-10;-4;-10;-4;-10;-5;-10;-5;-9;-5;-9;-5;-9;-6;-8;-6;-8;-6;-8;-6;-7;-6;-7;-6;-6;-6;-6;-7;-5;-7;-4;-7;-2;-3;-1;-1;0;0;0;0;0;0;-1;-1;-3;-2;-8;-4;-8;-5;-8;-5;-8;-6;-8;-6;-8;-6;-8;-7;-8;-7;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-9;-8;-9;-8;-9;-8;-9;-8;-9;-8;-9;-8;-9;-8;-9;-8;-10;-8;-10;-8;-10;-8;-11;-8;-11;-8;-11;-7;-11;-7;-122;0;-26;12;-25;12;-25;13;-24;13;-23;13;-23;13;-22;13;-21;12;-20;12;-20;12;-19;13;-19;13;-19;13;-19;12;-18;12;-18;11;-18;11;-18;10;-18;9;-17;9;-17;8;-16;7;-16;7;-15;7;-15;6;-15;5;-15;4;-15;4;-6;1;-2;0;0;-1;0;-1;0;-1;-2;0;-5;1;-15;5;-15;4;-15;4;-16;3;-16;3;-17;3;-18;3;-18;3;-19;3;-19;3;-20;3;-20;3;-20;3;-21;4;-21;4;-21;4;-21;4;-22;5;-22;5;-22;6;-23;7;-23;7;-24;8;-24;9;-24;10;-25;11;-25;12;-26;12
