timestamp_us,rssi,channel,mac,csi_len,csi_data,experiment_id,zone_id,scenario,distance_tx_rx_m,ground_truth,comment,marker_state
3747176981,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;12;18;10;13;10;7;10;1;11;-5;13;-10;16;-15;18;-18;22;-20;24;-20;27;-19;28;-18;28;-15;28;-12;25;-8;22;-5;17;-3;11;-2;6;-3;0;-4;-4;-7;-8;-11;-9;-15;-9;-19;-9;-22;-2;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;2;-9;9;-10;10;-12;11;-13;11;-14;11;-14;11;-14;12;-14;12;-13;12;-12;12;-11;12;-10;12;-7;12;-5;12;-2;12;0;13;4;14;7;15;11;17;14;18;17;20;19;23;21;25;21;27;20;28;20;28;125;0;1;25;1;25;0;24;0;24;-1;24;-1;25;-1;26;0;26;1;26;1;26;1;25;0;24;-1;25;-2;26;-2;27;-2;28;-2;28;-2;27;-3;26;-4;25;-5;25;-6;25;-7;25;-8;25;-8;25;-9;24;-10;22;-11;21;-4;7;-2;2;0;-1;0;-1;0;-1;-1;0;-4;1;-9;5;-9;5;-9;5;-9;5;-8;5;-7;5;-7;4;-6;4;-7;4;-7;4;-7;5;-7;7;-6;7;-5;8;-4;8;-3;8;-3;8;-4;9;-4;11;-4;13;-3;14;-1;15;0;16;0;16;-1;16;-2;18;-2;20;-3;22;125;0;45;15;45;15;45;15;44;15;43;15;41;15;40;14;39;13;38;12;38;12;37;12;37;12;36;12;35;13;34;13;34;13;33;13;33;13;32;13;31;14;29;15;27;16;25;15;24;15;23;15;22;16;21;17;20;18;7;7;2;2;-1;-1;-2;0;-1;-1;2;-1;6;-1;19;-2;19;-1;20;0;21;1;22;1;24;2;25;3;26;4;27;5;28;6;29;7;29;8;30;9;31;9;31;10;32;11;33;11;34;12;34;12;35;12;37;12;38;12;40;12;42;13;43;14;44;14;45;15;45;15,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
3747372364,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-12;20;-8;18;-4;16;1;16;5;16;10;17;13;19;15;21;16;24;15;26;14;28;12;29;9;29;6;28;4;26;1;22;0;17;1;12;3;8;6;4;9;2;13;1;17;2;20;4;21;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;1;-14;7;-16;6;-18;5;-19;4;-19;2;-19;1;-19;1;-18;1;-16;1;-16;2;-15;4;-14;5;-14;7;-13;9;-13;11;-13;13;-12;16;-12;18;-12;20;-13;23;-13;25;-14;27;-15;28;-17;29;-17;28;-17;28;-116;0;-20;2;-19;2;-18;2;-18;1;-19;0;-20;-1;-21;0;-22;1;-22;2;-21;3;-20;4;-20;3;-21;2;-22;2;-23;1;-24;2;-24;2;-23;2;-22;1;-21;0;-21;-2;-21;-3;-22;-3;-23;-3;-22;-3;-22;-4;-21;-5;-20;-7;-7;-3;-2;-1;0;0;0;0;0;0;-1;-2;-3;-4;-7;-11;-7;-11;-7;-12;-6;-11;-6;-11;-5;-10;-4;-10;-3;-10;-3;-10;-3;-11;-4;-10;-5;-9;-5;-8;-5;-7;-5;-6;-5;-6;-6;-6;-6;-6;-8;-6;-9;-5;-11;-3;-11;-1;-11;0;-11;0;-12;-1;-13;-1;-15;-2;-16;-2;-116;0;-7;52;-7;52;-8;51;-8;50;-8;49;-7;48;-7;46;-5;44;-4;43;-4;43;-4;42;-5;42;-6;42;-7;41;-7;40;-7;39;-7;39;-8;38;-8;37;-10;36;-11;35;-12;32;-12;31;-12;29;-13;28;-14;27;-15;26;-16;26;-6;9;-3;2;0;-1;-1;-2;-1;-1;0;2;1;7;4;20;4;21;3;21;3;23;2;24;2;25;1;27;0;28;-1;30;-1;31;-2;32;-3;33;-4;34;-5;35;-5;36;-6;37;-6;38;-6;38;-6;40;-6;41;-6;42;-5;44;-5;46;-5;48;-6;49;-7;51;-7;52;-7;53,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
3747605824,-46,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-15;7;-9;10;-5;13;-1;16;3;20;5;23;6;26;6;29;6;30;4;31;3;31;1;30;-1;28;-2;24;-3;20;-2;16;-1;11;2;7;5;3;8;0;12;-1;16;-2;19;-1;21;1;22;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;-3;-13;-13;-13;-15;-13;-18;-12;-21;-11;-22;-9;-23;-7;-22;-6;-21;-5;-18;-5;-15;-6;-12;-7;-9;-9;-5;-12;-2;-16;0;-19;2;-22;4;-26;5;-29;6;-32;7;-34;7;-35;6;-35;6;-34;5;-32;4;-30;4;-124;0;-5;-12;-5;-12;-5;-11;-5;-11;-5;-11;-5;-11;-5;-11;-6;-11;-6;-11;-7;-10;-7;-10;-6;-10;-6;-10;-6;-11;-7;-11;-7;-11;-7;-10;-7;-10;-6;-10;-6;-10;-6;-10;-6;-10;-6;-10;-6;-10;-5;-10;-5;-10;-4;-10;-4;-10;-2;-4;-1;-2;0;0;0;0;-1;0;-1;-1;0;-4;0;-9;0;-9;0;-9;0;-10;1;-9;1;-9;1;-9;1;-9;2;-9;2;-9;2;-10;2;-10;1;-10;1;-9;1;-9;1;-9;1;-9;1;-9;0;-10;0;-10;-1;-10;-1;-10;-1;-10;-2;-10;-2;-11;-2;-11;-3;-12;-3;-12;-124;0;-20;15;-20;15;-20;15;-20;15;-19;14;-18;14;-18;14;-17;13;-16;13;-15;14;-15;13;-15;13;-15;13;-14;12;-14;12;-14;12;-14;11;-14;11;-14;10;-14;10;-14;9;-13;8;-13;8;-12;7;-12;7;-12;6;-13;5;-13;5;-5;1;-2;0;0;-1;0;-1;0;-1;-1;1;-3;3;-7;9;-7;9;-8;9;-8;9;-9;9;-10;10;-11;10;-11;10;-12;10;-13;10;-14;10;-14;11;-14;11;-15;11;-15;11;-16;11;-16;11;-16;11;-17;11;-17;12;-17;12;-18;13;-19;14;-19;14;-20;15;-20;15;-20;16;-20;16,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
3747772601,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-15;-1;-10;3;-4;7;1;12;5;16;8;21;11;24;12;27;12;29;12;30;11;31;10;30;7;29;5;26;3;22;2;17;2;11;2;5;4;0;6;-5;8;-10;11;-13;14;-14;17;-15;20;-15;5;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-3;4;-13;6;-15;8;-16;10;-17;12;-18;13;-18;14;-18;14;-16;13;-15;11;-13;9;-11;6;-9;2;-8;-3;-7;-8;-6;-12;-5;-17;-5;-22;-5;-26;-5;-30;-6;-33;-6;-35;-7;-36;-7;-36;-8;-34;-8;-32;-7;117;0;-5;-16;-5;-15;-5;-15;-5;-14;-4;-14;-5;-15;-5;-14;-6;-14;-6;-14;-6;-13;-6;-13;-6;-13;-6;-13;-6;-13;-6;-14;-6;-14;-6;-13;-6;-13;-6;-13;-5;-12;-5;-13;-4;-13;-5;-13;-5;-13;-4;-12;-4;-12;-3;-12;-2;-12;-1;-4;-1;-2;0;0;-1;0;-1;0;-1;-1;0;-4;0;-9;0;-9;1;-9;1;-9;1;-9;1;-9;1;-9;1;-9;1;-9;2;-10;1;-10;1;-10;1;-11;0;-10;0;-10;0;-10;0;-11;0;-11;0;-11;0;-12;-1;-12;-2;-13;-2;-13;-2;-13;-2;-13;-3;-14;-3;-15;-3;-15;117;0;-22;10;-22;10;-22;9;-21;9;-21;9;-20;9;-19;9;-18;9;-18;9;-17;10;-17;10;-17;9;-17;9;-17;9;-16;9;-16;8;-16;8;-16;8;-16;7;-16;7;-16;6;-15;5;-15;5;-14;5;-14;4;-14;4;-14;3;-14;2;-6;0;-2;0;0;-1;0;-1;0;-1;-1;0;-3;1;-9;4;-9;4;-9;4;-10;4;-10;4;-11;4;-11;4;-12;5;-13;4;-14;4;-14;4;-14;4;-15;4;-15;4;-16;4;-16;5;-17;5;-17;5;-17;5;-18;6;-18;6;-19;7;-20;7;-20;8;-21;8;-21;8;-22;9;-22;9,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
3747972316,-44,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;2;19;5;14;10;10;15;6;19;4;24;2;28;2;31;3;33;4;33;6;32;8;30;9;28;10;25;10;21;10;17;8;13;5;10;1;8;-4;7;-8;7;-12;9;-15;11;-17;13;-18;16;-18;4;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;2;-12;9;-14;10;-16;11;-19;11;-21;11;-23;10;-24;9;-24;8;-23;7;-22;5;-19;5;-16;5;-12;6;-9;9;-5;12;-3;15;0;19;2;23;3;27;4;31;4;34;3;37;1;38;-1;38;-2;36;-2;35;-116;0;-11;7;-11;7;-10;6;-10;6;-11;5;-11;6;-11;6;-11;7;-10;8;-9;8;-9;7;-9;6;-9;6;-10;6;-10;7;-10;7;-9;7;-9;7;-8;6;-8;5;-9;5;-9;5;-10;5;-9;5;-9;5;-9;5;-9;4;-9;3;-3;1;-1;0;0;-1;0;-1;0;-1;-1;0;-3;0;-7;1;-8;1;-8;1;-8;1;-8;1;-8;1;-8;1;-8;0;-8;0;-8;0;-9;0;-10;0;-10;1;-9;1;-9;1;-8;1;-9;1;-9;1;-10;1;-10;2;-10;3;-10;4;-9;5;-9;4;-10;4;-11;4;-12;4;-13;5;-116;0;17;21;17;21;16;21;16;21;15;20;15;19;15;18;15;17;15;16;15;16;15;15;15;15;14;15;14;15;14;14;14;14;13;14;13;14;13;14;12;14;11;14;10;14;10;13;9;12;9;12;8;13;7;13;6;14;2;5;0;1;-1;-1;-1;-1;-1;-1;0;0;3;3;8;9;8;10;8;10;8;11;8;11;8;12;8;13;8;14;9;15;8;15;8;16;8;16;9;16;9;17;9;17;9;18;9;18;10;19;10;19;11;19;12;19;13;19;14;20;14;21;15;21;15;22;15;22;16;22,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
3748174945,-46,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;13;-3;13;-8;15;-13;16;-16;18;-19;19;-21;20;-22;21;-22;22;-21;21;-19;20;-17;18;-15;16;-13;13;-11;9;-9;5;-8;0;-8;-4;-9;-8;-10;-11;-12;-13;-15;-13;-17;-13;-20;-12;-21;-10;-22;-3;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;4;-7;18;-10;19;-12;19;-15;18;-16;16;-16;14;-15;12;-13;9;-10;8;-7;7;-3;7;2;7;6;9;10;11;13;13;15;16;17;18;18;20;19;22;20;23;19;23;18;23;17;22;16;20;15;16;14;13;-127;0;-18;11;-18;11;-18;10;-18;10;-19;11;-18;12;-17;13;-16;14;-14;14;-13;14;-13;13;-14;13;-15;14;-15;15;-14;16;-14;16;-13;15;-13;14;-13;13;-14;13;-15;13;-15;13;-15;14;-14;14;-14;13;-14;12;-14;11;-15;10;-6;3;-2;0;0;-1;1;-1;0;-1;-2;0;-7;2;-18;7;-19;6;-19;6;-20;5;-19;5;-19;4;-19;3;-20;2;-21;1;-21;1;-22;1;-21;2;-20;2;-20;2;-19;1;-19;1;-20;1;-20;1;-20;2;-20;4;-19;5;-19;5;-18;5;-19;5;-20;5;-21;7;-21;9;-22;10;-127;0;47;-2;47;-2;46;-2;45;-2;43;-2;41;-3;40;-3;39;-4;38;-5;37;-5;37;-5;36;-5;35;-5;35;-5;34;-5;34;-5;34;-5;34;-4;34;-3;33;-2;31;-1;30;0;29;0;28;0;28;1;28;2;27;4;26;5;9;2;2;0;-1;-1;-2;0;-1;0;2;-1;7;-2;21;-6;21;-5;22;-5;23;-4;24;-4;25;-3;27;-2;28;-1;29;-1;29;0;30;0;31;0;32;1;33;1;34;2;35;2;35;2;35;2;36;2;37;1;39;0;41;0;42;0;43;0;44;-1;45;-1;45;-1;46;-2,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
3748372867,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-1;-22;-4;-25;-6;-27;-8;-29;-9;-30;-10;-31;-10;-31;-9;-31;-9;-30;-8;-29;-8;-27;-7;-24;-7;-22;-7;-19;-8;-16;-9;-13;-11;-10;-14;-8;-16;-6;-18;-6;-20;-5;-22;-6;-23;-7;-23;-9;-23;-10;-6;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;-1;21;-1;22;2;22;6;21;9;19;11;16;13;13;12;9;9;7;6;5;1;5;-4;7;-8;9;-13;12;-16;16;-18;19;-19;22;-20;25;-20;26;-19;27;-18;26;-17;24;-16;21;-15;18;-15;15;-15;12;-16;-109;0;-1;16;-1;16;-1;16;-1;16;0;16;2;16;3;15;4;14;5;13;5;12;5;12;5;12;6;12;7;12;8;12;8;11;8;11;8;10;8;10;8;11;8;11;8;11;8;11;9;11;8;10;8;10;7;10;6;11;2;4;0;1;-1;-1;-1;-2;0;-1;0;2;0;7;0;22;-1;22;-2;22;-3;22;-4;22;-5;22;-6;22;-7;22;-9;22;-9;22;-10;22;-10;21;-10;20;-10;19;-11;18;-11;18;-11;18;-10;19;-9;19;-8;18;-7;18;-7;17;-7;17;-7;18;-7;18;-6;19;-5;19;-4;20;-109;0;7;-55;7;-55;7;-54;7;-53;6;-51;5;-50;4;-49;3;-48;3;-48;2;-47;2;-46;2;-45;1;-44;1;-44;1;-43;2;-43;2;-43;3;-43;4;-41;5;-40;6;-39;6;-37;6;-36;7;-35;7;-34;9;-33;10;-31;12;-31;4;-11;1;-4;-1;1;-1;1;-1;0;-1;-3;0;-8;0;-20;1;-21;1;-22;2;-23;2;-24;3;-25;4;-27;5;-28;5;-29;6;-30;7;-31;7;-33;8;-34;9;-35;9;-35;10;-36;10;-37;10;-38;9;-39;9;-40;8;-42;8;-44;8;-46;8;-48;8;-50;8;-51;7;-52;7;-53,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
3748572339,-49,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;8;19;8;12;9;4;11;-2;13;-9;16;-14;20;-18;23;-21;26;-22;28;-22;30;-21;30;-18;30;-16;27;-12;24;-9;19;-6;13;-4;6;-4;0;-5;-6;-7;-11;-10;-14;-13;-16;-17;-16;-22;-15;-24;-4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;-13;4;-15;4;-18;4;-21;4;-23;3;-24;3;-24;2;-24;2;-23;2;-21;1;-19;2;-16;3;-13;5;-9;7;-6;10;-3;12;1;16;4;19;7;22;10;26;11;29;13;32;13;34;13;35;12;35;11;34;123;0;-6;14;-6;14;-6;13;-6;12;-7;12;-7;13;-7;13;-7;14;-6;14;-5;13;-5;13;-6;13;-6;13;-7;13;-7;14;-7;14;-7;14;-7;13;-8;13;-8;12;-9;11;-10;11;-10;11;-10;11;-10;10;-10;9;-11;8;-11;7;-4;2;-2;0;0;-1;0;-1;0;-1;-1;0;-2;1;-6;5;-6;5;-7;5;-7;5;-7;5;-6;5;-6;4;-6;4;-6;4;-7;3;-7;4;-7;4;-7;5;-6;5;-6;5;-6;5;-6;5;-6;5;-6;6;-6;7;-6;8;-6;9;-5;9;-5;9;-5;9;-6;10;-7;11;-7;12;123;0;22;12;22;12;22;12;22;12;21;11;20;11;19;10;19;10;19;9;19;8;19;8;18;8;18;8;18;8;17;8;17;8;17;8;17;8;17;8;16;9;15;9;14;9;13;9;12;9;12;9;12;9;11;10;10;11;3;4;1;1;-1;-1;-1;-1;-1;-1;1;0;4;1;11;4;11;4;11;5;11;5;11;6;12;6;12;7;13;7;13;8;13;8;13;9;13;9;14;9;14;10;14;10;15;10;15;11;15;11;16;11;16;11;17;11;18;11;19;11;20;11;21;12;21;12;22;12;22;12,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
3748776206,-46,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;0;11;6;8;12;5;17;3;22;2;25;1;29;1;30;1;31;2;30;2;29;3;28;4;24;4;20;4;16;4;11;2;7;-1;3;-4;-1;-8;-3;-11;-4;-15;-5;-18;-4;-20;-3;-23;-2;-24;-1;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;-2;-16;-7;-17;-10;-19;-13;-19;-16;-19;-18;-18;-20;-16;-20;-14;-20;-11;-18;-9;-14;-8;-10;-7;-6;-7;0;-7;5;-8;10;-10;15;-12;19;-14;23;-15;26;-17;28;-18;29;-19;30;-19;29;-18;28;-16;25;-14;23;125;0;-25;-16;-25;-15;-25;-15;-25;-13;-25;-12;-24;-11;-24;-10;-23;-10;-23;-10;-23;-10;-23;-9;-24;-9;-24;-8;-23;-8;-23;-8;-23;-9;-23;-9;-23;-10;-23;-10;-22;-9;-22;-9;-20;-9;-20;-10;-19;-10;-18;-11;-18;-12;-18;-13;-17;-13;-6;-5;-2;-2;0;0;1;0;0;0;-3;-1;-7;-3;-19;-9;-19;-10;-19;-11;-18;-12;-18;-14;-18;-15;-18;-15;-18;-16;-19;-16;-18;-16;-18;-17;-17;-17;-16;-18;-16;-18;-16;-19;-17;-18;-17;-18;-17;-17;-17;-17;-17;-16;-18;-17;-19;-17;-20;-17;-21;-17;-22;-16;-23;-16;-23;-16;-24;-16;125;0;0;47;0;46;1;45;1;44;2;43;2;42;3;41;3;40;3;39;2;38;2;37;2;36;2;35;3;35;3;35;2;34;1;33;1;32;0;31;0;30;0;29;-1;28;-2;27;-3;26;-4;25;-5;24;-6;23;-7;23;-3;8;-1;2;0;-1;-1;-2;-1;-1;0;2;2;7;5;21;5;22;4;23;3;24;3;25;2;26;2;27;2;28;2;29;2;31;1;32;-1;33;-2;33;-3;33;-3;34;-3;34;-2;35;-1;36;-1;37;-1;38;0;40;0;41;1;42;1;43;1;44;0;45;0;47;0;48,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
3748972743,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-6;5;0;7;6;10;12;12;16;14;20;16;22;17;24;18;24;19;23;19;21;18;19;17;17;15;14;12;11;9;7;5;4;1;2;-3;0;-8;-1;-12;-2;-16;-2;-19;-1;-21;1;-22;2;-22;0;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-4;6;-16;9;-17;12;-19;15;-19;17;-19;18;-18;18;-16;17;-13;15;-11;12;-9;8;-6;3;-4;-2;-3;-8;-2;-13;-2;-18;-1;-23;-1;-27;-1;-31;-2;-33;-1;-35;-2;-35;-2;-35;-2;-33;-2;-29;-2;-26;-1;119;0;-8;-14;-8;-14;-8;-13;-7;-13;-7;-13;-8;-13;-8;-12;-8;-12;-9;-11;-8;-11;-8;-10;-8;-10;-8;-10;-9;-10;-9;-10;-9;-10;-9;-10;-8;-9;-8;-9;-8;-9;-7;-10;-7;-10;-7;-9;-7;-9;-7;-9;-6;-9;-5;-9;-5;-9;-2;-4;-1;-1;0;0;0;0;0;0;-1;-2;-2;-4;-5;-11;-4;-12;-4;-12;-4;-12;-4;-12;-3;-12;-3;-13;-3;-13;-2;-13;-2;-13;-2;-14;-2;-14;-2;-14;-2;-13;-2;-13;-2;-13;-2;-13;-2;-13;-3;-14;-3;-14;-4;-14;-4;-13;-5;-14;-5;-14;-5;-14;-5;-15;-6;-15;-6;-15;119;0;-10;19;-11;19;-10;19;-10;18;-10;18;-9;17;-8;17;-8;17;-7;17;-7;17;-6;16;-6;16;-6;15;-6;15;-6;14;-6;14;-5;14;-6;14;-6;13;-6;13;-6;12;-6;12;-6;11;-5;11;-6;10;-6;10;-6;10;-7;9;-3;3;-1;0;0;-1;0;-1;0;-1;-1;0;-2;3;-5;8;-5;8;-5;8;-5;8;-6;9;-6;9;-6;10;-7;10;-8;11;-8;11;-8;11;-8;12;-9;12;-9;12;-9;13;-10;13;-10;13;-10;13;-10;14;-10;14;-10;15;-10;16;-11;17;-11;17;-11;18;-11;18;-11;19;-10;19,empty,EXP_S024,ZONE_01,mouvement_faible,4.7,mouvement_faible,mouvement lent
