timestamp_us,rssi,channel,mac,csi_len,csi_data,experiment_id,zone_id,scenario,distance_tx_rx_m,ground_truth,comment,marker_state
852372399,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-15;5;-10;8;-5;11;-1;15;2;18;4;22;4;25;5;27;4;29;2;30;1;30;-1;28;-2;26;-3;23;-3;19;-2;15;-1;11;2;7;5;4;8;1;12;0;16;0;18;1;20;3;22;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;-11;-13;-11;-15;-11;-17;-10;-19;-8;-20;-7;-21;-6;-20;-5;-19;-4;-18;-4;-15;-5;-13;-6;-10;-8;-7;-10;-4;-13;-2;-17;0;-20;2;-23;4;-26;5;-29;5;-31;5;-33;5;-34;4;-33;3;-31;2;-29;1;-119;0;-9;-10;-8;-9;-7;-9;-7;-9;-7;-9;-7;-10;-8;-10;-9;-9;-9;-8;-9;-7;-9;-7;-8;-7;-8;-8;-9;-8;-9;-8;-10;-8;-10;-7;-9;-7;-9;-7;-8;-7;-8;-7;-8;-8;-8;-8;-8;-8;-8;-7;-8;-7;-7;-7;-7;-7;-3;-3;-1;-1;0;0;0;0;-1;0;-1;-1;-1;-3;-1;-8;-1;-8;0;-8;0;-8;-1;-8;-1;-8;0;-8;0;-8;0;-8;0;-8;0;-9;-1;-9;-1;-9;-1;-8;-2;-8;-1;-8;-1;-8;-1;-8;-2;-9;-3;-9;-4;-9;-5;-9;-5;-9;-5;-9;-5;-9;-5;-10;-6;-10;-6;-11;-119;0;-15;19;-15;19;-15;18;-15;18;-14;17;-13;17;-12;16;-11;16;-10;16;-10;16;-10;16;-10;16;-10;16;-10;15;-9;15;-9;15;-9;15;-9;14;-9;14;-10;14;-10;13;-10;12;-9;11;-9;11;-9;11;-10;10;-10;10;-11;9;-4;3;-2;0;0;-1;0;-1;0;-1;-1;1;-2;3;-5;9;-6;9;-6;9;-7;9;-7;9;-8;10;-9;10;-9;11;-10;11;-11;11;-11;11;-11;11;-12;11;-12;12;-13;12;-13;12;-13;12;-13;12;-13;13;-13;13;-13;14;-14;15;-14;16;-15;17;-15;17;-15;18;-15;18;-15;18,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
852572804,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;5;-16;-1;-14;-7;-12;-13;-12;-18;-12;-22;-13;-26;-14;-28;-16;-29;-17;-29;-18;-28;-19;-26;-20;-23;-20;-20;-19;-16;-17;-12;-13;-10;-9;-8;-4;-8;1;-8;5;-10;10;-12;13;-15;15;-18;16;-20;15;-6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;-1;17;-2;19;0;21;2;22;4;22;6;22;7;21;8;19;9;17;8;15;6;13;4;12;1;10;-3;9;-7;9;-11;9;-15;10;-19;11;-23;12;-26;14;-29;16;-31;17;-32;18;-33;18;-32;18;-30;17;-28;123;0;13;3;12;3;12;3;11;4;11;4;12;4;12;3;12;3;12;2;12;2;11;2;11;2;11;2;12;2;12;2;12;2;12;2;11;2;11;2;10;3;10;3;10;3;10;3;10;3;10;3;10;3;9;4;9;4;3;1;0;0;-1;-1;-1;-1;-1;-1;0;0;2;1;6;5;6;5;6;5;6;5;6;5;6;5;5;5;5;5;5;6;5;6;5;6;5;6;6;5;6;5;6;5;6;5;6;5;6;5;7;5;8;5;8;5;9;4;9;4;9;4;9;4;10;4;11;5;12;5;123;0;1;-27;1;-27;1;-27;1;-26;1;-25;1;-24;1;-23;0;-23;0;-22;0;-22;0;-22;0;-21;0;-21;0;-21;0;-20;0;-20;1;-20;1;-20;2;-20;2;-19;3;-18;3;-17;3;-17;4;-16;4;-16;5;-15;5;-15;6;-15;2;-6;0;-2;-1;0;0;0;0;0;-1;-2;-2;-4;-4;-11;-4;-12;-4;-12;-3;-13;-3;-14;-3;-14;-3;-15;-2;-16;-2;-17;-1;-17;-1;-17;0;-18;0;-18;1;-19;1;-20;1;-20;1;-20;1;-21;1;-21;1;-21;1;-22;0;-23;0;-24;1;-25;1;-25;1;-26;1;-27;1;-27,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
852773661,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-7;-15;-9;-9;-12;-3;-16;2;-20;6;-24;8;-27;10;-30;11;-32;11;-33;10;-33;9;-32;7;-30;4;-27;2;-23;1;-18;0;-13;1;-8;3;-3;5;1;9;4;13;5;16;6;20;5;23;3;25;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;-3;14;-10;16;-10;19;-9;21;-8;22;-6;23;-5;22;-4;21;-3;19;-2;16;-3;13;-4;10;-6;7;-8;4;-11;1;-14;-2;-17;-4;-21;-6;-25;-7;-28;-8;-31;-8;-34;-8;-36;-8;-37;-7;-37;-6;-34;-5;-32;127;0;12;-8;11;-8;11;-8;11;-7;11;-7;11;-8;11;-8;11;-8;10;-9;9;-9;9;-9;9;-8;10;-8;10;-9;10;-9;10;-9;10;-9;9;-9;9;-8;9;-8;9;-7;10;-7;10;-7;10;-7;10;-7;10;-6;10;-6;10;-5;3;-2;1;-1;-1;0;-1;0;-1;-1;0;-1;3;-1;8;-1;8;-1;8;-1;8;-1;8;-1;8;-1;8;0;8;0;8;0;8;0;8;0;9;0;8;-1;8;-1;8;-1;8;-1;8;-1;8;-2;9;-2;9;-3;10;-4;10;-5;10;-5;10;-5;10;-5;11;-5;12;-6;12;-6;127;0;-19;-19;-19;-19;-18;-19;-18;-19;-17;-18;-17;-17;-17;-16;-17;-15;-17;-15;-17;-14;-16;-14;-16;-14;-16;-14;-15;-14;-15;-14;-15;-14;-15;-14;-14;-14;-14;-14;-13;-14;-12;-14;-11;-14;-11;-14;-10;-13;-9;-13;-9;-14;-8;-14;-7;-14;-3;-6;-1;-2;0;0;0;0;0;0;-2;-1;-4;-2;-11;-6;-11;-6;-11;-7;-11;-7;-11;-8;-11;-9;-12;-9;-12;-10;-12;-11;-13;-12;-13;-12;-13;-13;-13;-13;-13;-14;-13;-14;-13;-15;-13;-15;-13;-15;-14;-16;-14;-16;-15;-16;-16;-16;-17;-17;-17;-17;-18;-18;-18;-19;-18;-19;-18;-19,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
852972275,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-16;-2;-12;3;-9;8;-7;13;-6;18;-6;23;-6;26;-7;29;-8;30;-9;30;-11;30;-12;28;-12;25;-12;22;-11;18;-9;14;-6;10;-2;7;3;5;8;4;12;4;15;5;18;7;20;9;21;12;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-4;-3;-17;-2;-19;0;-21;2;-22;4;-22;5;-22;6;-21;6;-20;6;-18;4;-16;2;-14;0;-12;-4;-10;-8;-9;-12;-8;-15;-7;-19;-7;-23;-7;-27;-8;-30;-9;-32;-10;-33;-11;-34;-12;-33;-12;-31;-12;-29;-12;127;0;3;-13;3;-13;2;-13;2;-13;2;-13;1;-13;1;-12;1;-12;0;-12;0;-12;0;-12;0;-12;0;-12;-1;-12;-1;-12;-1;-12;-1;-12;-1;-12;0;-12;0;-12;0;-12;0;-12;0;-12;0;-11;0;-11;1;-11;1;-11;2;-11;0;-4;0;-2;-1;0;-1;0;-1;0;0;-1;2;-3;5;-6;5;-6;5;-6;6;-6;6;-6;6;-6;6;-6;6;-6;6;-6;6;-6;6;-6;6;-6;5;-6;5;-6;5;-7;5;-7;5;-7;5;-7;4;-8;4;-8;4;-9;4;-9;4;-10;4;-10;4;-11;4;-11;4;-12;4;-12;127;0;-25;0;-25;0;-25;1;-24;1;-24;1;-23;1;-22;1;-22;2;-21;2;-21;2;-20;2;-20;3;-20;3;-19;3;-19;3;-19;2;-19;2;-19;2;-18;1;-18;1;-17;1;-17;0;-16;0;-16;0;-16;-1;-15;-1;-15;-2;-15;-3;-6;-1;-2;-1;0;0;0;-1;0;-1;-2;0;-4;1;-11;2;-11;2;-12;1;-12;1;-13;1;-14;1;-14;0;-15;0;-16;0;-16;-1;-17;-1;-17;-1;-18;-1;-18;-2;-18;-2;-18;-2;-19;-2;-19;-2;-20;-2;-20;-2;-21;-1;-22;-1;-23;-1;-23;-1;-24;0;-24;0;-25;0;-25;0,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
853172564,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-15;6;-9;8;-4;11;1;15;4;18;6;22;8;25;8;28;8;29;7;30;5;30;3;30;1;28;0;24;-1;21;-1;16;0;11;2;7;5;3;9;0;12;-2;16;-2;19;-2;22;0;23;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;-12;-12;-13;-14;-13;-16;-12;-18;-11;-20;-10;-21;-9;-21;-7;-20;-7;-18;-6;-16;-6;-13;-7;-10;-9;-7;-11;-3;-13;0;-16;2;-19;5;-23;7;-26;8;-29;9;-32;9;-33;9;-34;8;-34;7;-32;6;-31;6;-125;0;-5;-13;-5;-13;-5;-12;-4;-12;-4;-12;-5;-12;-5;-12;-5;-12;-6;-11;-6;-11;-6;-10;-6;-10;-6;-11;-6;-11;-6;-11;-6;-11;-6;-11;-6;-10;-5;-10;-5;-10;-5;-10;-5;-10;-5;-10;-5;-10;-4;-10;-4;-10;-3;-10;-3;-10;-1;-4;-1;-2;0;0;0;0;-1;0;-1;-1;0;-3;0;-8;0;-8;0;-8;1;-8;1;-8;1;-8;1;-8;1;-8;1;-8;1;-8;1;-8;1;-9;0;-9;0;-9;0;-8;0;-9;0;-9;0;-9;-1;-9;-1;-10;-2;-10;-2;-10;-2;-10;-3;-10;-3;-11;-3;-12;-3;-12;-4;-13;-125;0;-21;13;-21;13;-21;13;-20;12;-20;12;-19;12;-18;11;-18;11;-17;11;-16;12;-16;11;-16;11;-16;11;-16;11;-16;11;-15;11;-15;10;-15;10;-15;9;-15;8;-15;8;-15;7;-14;7;-14;6;-14;6;-14;5;-14;4;-14;4;-6;1;-2;0;0;-1;0;-1;0;-1;-1;0;-3;3;-7;8;-7;8;-8;8;-9;8;-9;8;-10;9;-11;9;-12;9;-13;9;-13;9;-14;9;-14;9;-15;9;-15;9;-16;9;-16;9;-16;9;-17;9;-17;9;-17;10;-18;10;-18;11;-19;12;-20;12;-20;12;-20;13;-21;13;-21;13,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
853373162,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-14;-5;-12;0;-10;6;-8;11;-8;16;-9;20;-9;24;-11;26;-12;27;-13;27;-14;27;-15;25;-15;22;-14;19;-13;15;-10;12;-6;9;-2;6;2;5;7;4;11;4;14;6;17;7;18;10;19;12;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;2;-16;4;-18;6;-19;7;-20;9;-20;10;-19;11;-18;11;-17;10;-15;8;-14;6;-12;3;-11;-1;-10;-5;-9;-9;-9;-13;-10;-16;-11;-20;-11;-23;-13;-26;-14;-28;-16;-29;-17;-29;-18;-28;-18;-26;-18;-25;-17;-121;0;6;-26;6;-25;6;-24;6;-23;7;-23;6;-24;5;-24;4;-24;3;-24;2;-23;2;-23;2;-23;3;-23;3;-24;3;-24;2;-24;1;-24;1;-23;2;-22;3;-22;3;-21;4;-21;4;-22;4;-22;4;-21;4;-20;5;-20;6;-19;2;-7;0;-2;-1;0;-1;0;-1;0;1;-2;3;-5;10;-12;10;-12;11;-12;11;-12;11;-12;11;-11;10;-11;11;-10;11;-10;11;-11;12;-11;11;-12;11;-12;10;-13;10;-13;10;-13;10;-13;10;-14;10;-15;10;-17;9;-18;8;-19;8;-19;8;-19;8;-20;9;-21;9;-23;9;-24;-121;0;-47;-2;-47;-2;-46;-2;-45;-2;-44;-2;-42;-1;-41;0;-40;1;-39;1;-38;1;-38;1;-37;1;-37;1;-36;1;-36;1;-35;1;-35;1;-35;0;-34;-1;-33;-1;-32;-2;-31;-3;-30;-3;-29;-4;-28;-5;-27;-6;-27;-7;-27;-8;-10;-3;-3;-2;0;0;1;-1;0;-1;-3;0;-8;2;-21;5;-21;4;-22;4;-23;3;-24;2;-25;2;-27;1;-29;1;-30;0;-30;-1;-31;-2;-32;-2;-32;-3;-33;-4;-34;-4;-35;-5;-35;-5;-36;-5;-37;-5;-38;-4;-39;-3;-41;-2;-42;-2;-44;-2;-45;-3;-46;-3;-46;-3;-47;-3,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
853574244,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-10;-4;-8;0;-7;3;-6;7;-6;10;-7;13;-7;15;-8;16;-9;17;-10;17;-10;16;-11;15;-11;14;-11;11;-9;9;-7;7;-5;5;-2;4;1;3;4;3;6;4;8;5;10;6;11;8;11;9;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;-11;1;-12;3;-13;4;-13;5;-13;6;-13;6;-12;6;-11;6;-10;5;-9;3;-8;1;-7;-1;-7;-3;-6;-6;-6;-8;-7;-11;-7;-13;-8;-15;-8;-17;-9;-18;-10;-19;-11;-19;-12;-19;-12;-18;-12;-16;-11;-120;0;4;-16;4;-16;4;-16;4;-15;4;-15;4;-15;3;-15;3;-16;2;-15;2;-15;2;-15;2;-15;2;-15;2;-15;1;-16;1;-16;1;-15;1;-15;1;-14;2;-14;2;-14;3;-14;3;-14;3;-14;3;-14;3;-13;4;-13;4;-13;1;-5;0;-2;-1;0;-1;0;-1;0;0;-1;2;-3;6;-8;6;-8;6;-7;7;-7;7;-7;7;-7;7;-7;7;-7;7;-7;7;-7;7;-7;7;-8;7;-8;6;-8;6;-8;6;-8;6;-8;6;-9;6;-10;6;-11;5;-11;5;-12;5;-12;5;-13;5;-13;6;-14;6;-15;6;-15;-120;0;-31;-2;-31;-2;-30;-2;-30;-2;-29;-2;-28;-1;-27;-1;-26;0;-26;0;-26;0;-25;0;-25;0;-24;0;-24;0;-23;0;-23;0;-23;-1;-23;-1;-22;-1;-22;-2;-21;-2;-20;-3;-19;-3;-19;-4;-18;-4;-18;-5;-17;-6;-17;-6;-6;-3;-2;-1;0;0;0;-1;0;-1;-2;0;-5;1;-14;3;-14;3;-15;2;-15;2;-16;2;-17;1;-18;1;-19;0;-19;0;-20;-1;-21;-1;-21;-2;-22;-2;-22;-3;-22;-3;-23;-3;-23;-3;-23;-3;-24;-3;-25;-3;-26;-2;-27;-2;-28;-2;-29;-2;-30;-2;-30;-3;-31;-3;-31;-3,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
853772390,-49,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-8;-15;-10;-9;-13;-3;-16;2;-20;6;-23;9;-27;11;-30;12;-32;11;-33;10;-33;9;-32;7;-30;5;-27;3;-23;1;-18;1;-13;1;-8;3;-3;5;1;9;3;13;4;16;5;20;3;23;2;25;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;-3;12;-12;14;-12;17;-12;19;-11;21;-10;21;-9;21;-8;20;-7;18;-6;16;-6;13;-6;9;-7;6;-9;3;-11;-1;-14;-4;-17;-6;-21;-8;-24;-10;-27;-11;-31;-11;-33;-11;-35;-11;-36;-10;-36;-8;-34;-7;-32;-119;0;10;-9;10;-9;10;-9;10;-9;10;-9;10;-9;10;-9;9;-10;9;-10;8;-10;8;-9;8;-9;8;-9;8;-9;8;-10;8;-10;8;-10;8;-10;8;-9;8;-9;8;-8;8;-8;9;-8;9;-8;9;-8;9;-7;9;-7;9;-6;3;-2;1;-1;-1;0;-1;0;-1;0;0;-1;2;-1;7;-3;8;-3;8;-2;8;-2;8;-2;8;-2;8;-2;8;-2;8;-2;8;-2;8;-2;8;-2;8;-3;8;-3;8;-3;8;-3;8;-3;8;-3;8;-4;9;-4;9;-5;9;-6;9;-6;9;-6;10;-7;10;-7;11;-7;11;-8;-119;0;-21;-16;-21;-16;-21;-16;-20;-16;-20;-15;-19;-15;-19;-14;-18;-13;-18;-13;-18;-12;-18;-12;-18;-12;-17;-12;-17;-12;-17;-12;-16;-12;-16;-12;-16;-12;-15;-12;-14;-12;-14;-13;-13;-12;-12;-12;-12;-12;-11;-12;-10;-12;-10;-13;-9;-13;-3;-5;-1;-2;0;0;0;0;0;0;-2;-1;-4;-1;-12;-3;-12;-4;-12;-5;-12;-5;-12;-6;-13;-6;-13;-7;-14;-8;-14;-9;-14;-10;-15;-10;-15;-11;-15;-11;-15;-11;-15;-12;-15;-12;-15;-13;-16;-13;-16;-13;-17;-13;-17;-14;-18;-14;-19;-14;-20;-15;-20;-15;-21;-16;-21;-16;-21;-16,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
853976884,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-5;-12;-7;-8;-9;-4;-12;0;-15;2;-18;4;-21;4;-23;4;-24;4;-25;3;-25;2;-24;1;-23;-1;-20;-1;-17;-2;-13;-2;-10;-1;-6;1;-3;4;-1;7;0;9;0;12;0;15;-1;17;-3;18;-1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;-2;9;-8;11;-8;13;-8;14;-7;15;-6;16;-5;16;-4;15;-4;14;-3;12;-3;10;-4;7;-5;5;-6;2;-8;0;-10;-2;-13;-3;-16;-4;-18;-5;-21;-5;-23;-5;-25;-5;-27;-4;-27;-4;-27;-3;-26;-3;-24;-120;0;19;-6;18;-6;18;-6;18;-6;18;-6;18;-6;18;-6;18;-7;17;-7;16;-7;16;-7;16;-7;16;-7;16;-7;16;-8;16;-8;16;-8;16;-7;16;-7;16;-6;16;-6;16;-6;15;-6;15;-6;15;-5;15;-4;15;-3;15;-2;5;-1;1;-1;-1;0;-1;-1;-1;-1;1;0;4;0;11;1;11;1;11;2;11;2;11;2;11;2;11;2;11;3;11;3;11;3;12;3;12;2;12;2;12;1;12;1;12;1;12;1;13;1;13;0;14;-1;15;-2;15;-2;15;-2;16;-3;16;-3;17;-3;18;-3;19;-4;-120;0;-19;-34;-19;-34;-19;-33;-19;-33;-18;-32;-18;-30;-17;-29;-18;-28;-18;-27;-18;-27;-18;-26;-17;-26;-17;-25;-17;-25;-16;-25;-16;-25;-15;-25;-14;-25;-14;-25;-13;-25;-12;-24;-11;-23;-10;-23;-9;-23;-8;-22;-7;-22;-5;-22;-4;-22;-2;-8;-1;-3;0;0;0;0;0;0;-2;-1;-5;-4;-14;-11;-13;-12;-13;-13;-13;-14;-13;-15;-13;-16;-14;-17;-14;-18;-14;-20;-14;-21;-14;-22;-14;-22;-14;-23;-14;-24;-14;-25;-13;-25;-13;-26;-13;-27;-14;-27;-15;-28;-16;-28;-17;-29;-18;-30;-18;-31;-18;-32;-19;-33;-19;-33;-20;-34,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
854172125,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;14;7;12;1;12;-5;12;-11;12;-17;14;-21;15;-24;17;-26;19;-27;21;-27;22;-26;22;-23;21;-21;20;-17;17;-14;14;-11;9;-9;4;-7;-1;-7;-6;-8;-10;-10;-13;-13;-15;-16;-15;-19;-15;-21;-4;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;4;-3;17;-5;18;-7;19;-9;20;-11;20;-12;20;-13;19;-13;17;-12;15;-10;14;-8;12;-5;11;-1;10;3;10;8;10;12;11;16;12;19;14;23;16;26;18;28;20;28;22;28;23;27;23;25;23;24;21;-120;0;-11;25;-10;24;-10;24;-10;24;-10;24;-10;24;-9;24;-8;24;-7;24;-6;23;-6;23;-6;22;-6;23;-6;23;-6;24;-6;24;-6;24;-6;23;-6;23;-7;22;-7;22;-7;22;-7;22;-8;22;-8;21;-9;20;-9;19;-10;18;-4;6;-2;1;0;-1;0;-1;0;-1;-2;1;-5;4;-13;11;-13;11;-14;10;-14;10;-14;10;-13;10;-13;10;-14;9;-14;9;-14;10;-14;10;-14;11;-14;11;-13;11;-12;12;-12;12;-12;12;-13;13;-13;14;-13;15;-12;16;-12;17;-11;18;-12;19;-12;20;-13;21;-13;22;-13;23;-120;0;51;6;51;6;51;6;49;6;48;6;46;5;45;4;44;3;43;3;42;2;42;2;41;1;40;2;39;2;39;2;38;3;38;3;37;4;37;4;36;5;34;6;33;7;32;7;31;7;30;8;29;10;28;11;27;13;9;5;2;1;-1;-1;-2;0;-1;0;2;-1;8;-3;22;-6;23;-5;23;-4;24;-2;26;-1;27;-1;29;0;30;0;31;1;32;2;33;3;34;4;35;4;36;5;36;5;37;6;38;7;39;7;39;7;41;7;42;6;44;6;45;6;47;6;49;6;50;6;50;6;51;5,empty,EXP_S045,ZONE_01,entree_zone,4.7,entree_zone,entree dans la zone
