timestamp_us,rssi,channel,mac,csi_len,csi_data,experiment_id,zone_id,scenario,distance_tx_rx_m,ground_truth,comment
37192911,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;4;-17;-1;-15;-6;-14;-11;-13;-15;-13;-19;-14;-22;-15;-24;-17;-25;-18;-25;-19;-24;-20;-23;-21;-20;-21;-17;-20;-14;-18;-12;-15;-10;-11;-9;-6;-9;-2;-10;2;-11;5;-13;8;-16;9;-19;10;-21;9;-6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;-2;14;-6;16;-5;18;-3;20;-1;21;1;21;3;20;5;18;5;16;5;13;4;11;2;9;-1;7;-4;7;-8;6;-12;7;-16;8;-19;9;-22;10;-25;12;-27;13;-29;15;-30;15;-29;16;-28;15;-27;14;-26;-118;0;18;11;18;11;18;10;19;9;19;9;18;8;18;8;18;7;18;6;18;6;18;5;19;5;19;4;19;4;19;4;19;4;19;5;19;5;19;5;18;5;18;5;18;5;17;5;17;5;17;5;16;6;16;6;16;7;5;2;1;0;-1;-1;-1;-1;-1;-1;1;1;4;4;11;12;10;12;9;13;9;13;8;14;8;14;8;14;8;14;8;15;8;15;8;15;8;15;8;15;8;15;8;14;8;14;8;13;9;13;9;13;10;13;11;13;11;13;12;13;13;13;14;13;15;13;16;12;16;12;-118;0;12;-48;12;-48;11;-48;11;-47;11;-46;10;-45;9;-44;9;-43;8;-41;7;-41;6;-40;6;-40;6;-39;6;-39;6;-39;7;-38;8;-38;8;-37;9;-36;9;-35;10;-33;10;-32;10;-31;10;-30;11;-29;12;-28;14;-26;15;-26;5;-9;1;-3;-1;0;0;1;0;0;-1;-2;-1;-7;-2;-20;-1;-20;0;-21;1;-22;2;-23;2;-24;3;-25;3;-27;4;-28;4;-29;5;-30;6;-31;7;-32;8;-32;8;-33;9;-33;9;-34;10;-35;10;-36;10;-38;10;-39;10;-41;10;-42;10;-44;10;-45;11;-47;11;-48;11;-50,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
37393799,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-4;17;2;14;7;13;12;12;17;12;21;13;24;14;26;15;27;17;27;18;26;19;24;19;22;19;19;18;16;16;14;13;11;9;10;4;9;-1;9;-5;11;-9;12;-11;15;-13;18;-14;19;-14;5;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;1;-17;5;-19;4;-21;2;-23;-1;-24;-3;-24;-5;-23;-6;-20;-7;-18;-7;-15;-6;-12;-4;-10;0;-9;3;-8;8;-8;12;-8;16;-9;20;-10;24;-12;27;-13;29;-15;31;-16;32;-17;31;-17;30;-17;28;-16;26;-116;0;-13;-2;-12;-2;-11;-2;-11;-3;-11;-3;-12;-2;-12;-2;-12;-1;-12;0;-11;1;-11;1;-11;1;-11;1;-11;1;-12;1;-12;1;-12;2;-11;2;-10;2;-10;1;-10;1;-10;1;-11;1;-11;1;-10;2;-10;1;-10;1;-9;0;-4;0;-1;-1;0;-1;0;0;0;0;-1;-1;-3;-2;-7;-6;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-6;-8;-6;-8;-6;-8;-7;-8;-7;-8;-7;-8;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-8;-7;-9;-7;-9;-6;-9;-5;-9;-5;-9;-5;-10;-5;-10;-5;-11;-5;-12;-5;-116;0;3;26;3;26;3;26;3;25;3;24;3;24;4;23;4;22;5;21;5;21;5;21;5;21;5;21;5;20;5;20;5;19;5;19;5;19;4;19;4;18;3;18;3;17;2;17;2;16;2;16;1;16;1;16;0;16;0;5;-1;1;-1;-1;-1;-1;-1;-1;0;1;0;3;2;10;2;10;1;11;1;11;1;12;1;12;1;13;1;14;0;15;0;15;0;15;0;16;0;16;-1;17;-1;18;-1;18;-1;19;-1;19;0;19;0;20;1;21;1;22;1;23;1;24;2;24;2;25;2;26;2;26,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
37597970,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;10;-14;5;-15;0;-16;-5;-18;-9;-21;-12;-23;-14;-26;-15;-28;-15;-30;-14;-31;-13;-31;-11;-31;-9;-29;-8;-26;-6;-23;-5;-19;-5;-15;-6;-10;-8;-6;-11;-3;-14;0;-18;1;-21;1;-23;0;-25;-1;-7;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;16;2;18;4;19;7;19;10;19;12;18;14;16;15;14;14;11;13;9;11;8;8;8;4;9;-1;10;-5;12;-9;14;-12;17;-15;20;-17;22;-19;25;-20;27;-21;29;-20;29;-20;29;-18;27;-17;25;-16;-120;0;18;14;17;13;16;13;15;13;16;14;17;14;18;13;19;11;19;9;19;8;18;7;17;8;18;9;19;9;20;9;20;8;20;7;19;7;18;7;17;7;17;8;17;9;18;9;18;8;18;8;17;7;16;8;15;8;5;3;1;1;-1;-1;-1;-1;-1;-1;1;1;3;5;9;15;8;16;8;16;8;17;7;17;7;16;6;16;5;17;4;17;4;18;5;19;6;19;6;18;6;17;6;16;5;16;5;16;6;17;7;18;8;18;10;17;11;16;11;15;11;15;11;16;12;17;13;18;15;18;-120;0;17;-51;18;-51;18;-50;18;-49;17;-48;17;-46;15;-45;14;-44;13;-43;12;-43;11;-43;11;-42;12;-42;12;-41;12;-40;11;-40;12;-40;12;-39;13;-38;14;-37;15;-35;15;-33;15;-32;15;-31;15;-30;16;-29;17;-28;19;-27;7;-10;2;-3;-1;0;-1;1;-1;0;0;-3;0;-8;1;-22;2;-22;3;-22;3;-23;4;-24;5;-25;6;-27;7;-28;8;-29;9;-29;10;-30;11;-31;11;-32;12;-33;13;-34;14;-35;15;-35;15;-36;15;-36;15;-38;15;-40;15;-42;16;-44;17;-46;17;-47;18;-48;18;-49;17;-50,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
37794718,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-7;9;-3;9;0;10;4;11;6;12;9;14;10;15;11;17;11;18;10;18;9;19;8;18;7;18;6;16;5;14;4;11;4;9;4;5;5;2;7;0;8;-2;10;-3;12;-3;14;-2;15;-2;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;-12;-1;-13;-2;-14;-4;-14;-6;-14;-7;-13;-9;-12;-9;-11;-9;-9;-9;-8;-7;-7;-5;-6;-3;-6;0;-7;3;-8;5;-9;8;-11;10;-12;12;-14;13;-16;14;-17;15;-18;15;-19;14;-19;13;-18;12;-17;11;127;0;-14;-9;-13;-9;-12;-9;-12;-9;-12;-9;-13;-9;-14;-8;-14;-7;-14;-6;-14;-5;-13;-5;-13;-5;-13;-6;-14;-6;-14;-5;-15;-5;-15;-4;-14;-4;-13;-4;-13;-4;-12;-5;-13;-5;-13;-5;-13;-5;-13;-4;-12;-4;-12;-4;-11;-5;-4;-2;-2;-1;0;0;0;0;0;0;-1;-2;-3;-4;-7;-11;-6;-11;-6;-12;-6;-12;-6;-12;-6;-12;-5;-12;-5;-12;-4;-12;-4;-13;-4;-13;-5;-13;-5;-13;-6;-12;-5;-12;-5;-12;-5;-12;-5;-12;-6;-12;-7;-12;-8;-12;-9;-11;-9;-10;-9;-10;-9;-11;-10;-11;-11;-12;-11;-12;127;0;-10;33;-10;33;-10;33;-10;32;-10;31;-9;30;-8;30;-7;29;-7;28;-6;28;-6;28;-6;28;-7;27;-7;27;-7;26;-6;26;-6;26;-6;25;-7;25;-8;24;-8;23;-8;22;-8;21;-8;20;-9;20;-9;19;-10;19;-11;18;-4;6;-2;1;0;-1;0;-1;0;-1;-1;1;-1;4;-2;13;-2;13;-3;14;-3;14;-3;15;-4;16;-4;17;-5;18;-6;18;-7;19;-7;19;-7;19;-8;20;-8;21;-9;21;-9;22;-10;22;-10;23;-10;23;-9;25;-9;26;-9;28;-9;29;-10;30;-10;31;-10;31;-10;32;-10;32,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
37995594,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;0;-16;-5;-14;-10;-12;-15;-11;-19;-11;-23;-11;-27;-12;-29;-13;-30;-15;-30;-16;-29;-17;-27;-17;-25;-17;-22;-16;-19;-14;-15;-11;-13;-8;-11;-4;-10;1;-10;6;-10;9;-12;12;-14;14;-16;16;-18;16;-5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;-2;15;-5;17;-4;20;-2;21;0;22;3;21;5;20;6;18;7;15;7;12;5;10;3;8;0;6;-4;6;-9;5;-13;6;-17;6;-21;8;-25;9;-28;11;-30;12;-32;13;-32;14;-32;15;-30;14;-28;13;-27;127;0;23;4;22;4;22;4;22;3;22;3;22;2;22;1;22;0;21;-2;21;-2;20;-3;20;-3;20;-3;21;-3;21;-4;21;-4;21;-5;20;-5;20;-4;20;-4;19;-4;19;-4;19;-4;19;-4;19;-4;18;-4;18;-3;18;-2;6;-1;1;0;-1;0;-1;-1;-1;-1;1;1;5;3;15;10;14;11;14;12;14;12;13;12;13;12;13;13;13;13;13;14;13;14;13;14;13;14;13;13;13;12;13;12;13;12;13;12;14;12;15;12;16;11;17;10;17;9;18;9;18;9;19;9;20;8;21;8;22;7;127;0;-10;-52;-10;-52;-10;-51;-10;-50;-11;-48;-11;-47;-11;-45;-12;-44;-13;-43;-14;-42;-14;-42;-14;-41;-14;-41;-14;-40;-13;-40;-13;-39;-12;-39;-11;-39;-10;-39;-9;-38;-8;-37;-7;-36;-7;-35;-6;-34;-5;-33;-4;-33;-2;-33;-1;-32;-1;-12;0;-4;0;1;0;1;0;0;-1;-2;-3;-7;-7;-19;-7;-20;-6;-21;-6;-22;-5;-23;-5;-24;-5;-25;-5;-27;-5;-28;-5;-29;-5;-30;-5;-31;-4;-32;-4;-34;-4;-35;-4;-36;-3;-37;-3;-37;-4;-38;-5;-39;-6;-41;-7;-43;-7;-44;-8;-46;-9;-48;-9;-49;-10;-50;-10;-51,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
38191282,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;6;12;9;8;13;3;16;0;19;-2;23;-4;26;-5;28;-5;29;-5;30;-4;30;-3;29;-2;27;0;24;1;20;1;16;1;12;-1;9;-3;6;-6;3;-9;2;-13;2;-16;2;-19;3;-21;4;-22;1;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;2;-10;12;-12;12;-15;12;-18;11;-20;9;-20;7;-20;5;-19;4;-17;2;-14;2;-11;2;-7;4;-4;6;-1;8;2;12;4;15;5;19;6;22;7;25;6;28;6;30;5;31;5;31;4;31;4;28;4;26;-121;0;-20;11;-20;10;-19;9;-19;8;-20;8;-20;9;-20;10;-19;12;-18;12;-16;12;-16;12;-16;11;-17;11;-18;11;-18;12;-18;13;-17;13;-16;12;-15;11;-15;10;-16;9;-16;9;-17;9;-16;10;-16;10;-15;9;-15;8;-15;7;-6;2;-2;0;0;-1;1;-1;0;-1;-2;0;-6;2;-17;5;-17;4;-18;4;-18;3;-18;3;-18;3;-17;2;-18;1;-18;0;-19;0;-20;0;-20;0;-20;0;-19;0;-18;0;-18;0;-18;0;-19;0;-20;1;-20;2;-20;4;-19;5;-19;5;-19;5;-20;5;-21;5;-22;6;-23;7;-121;0;35;31;35;31;34;32;33;31;32;31;31;29;30;28;30;27;30;26;30;26;30;26;29;26;28;26;27;26;26;25;26;25;25;25;25;26;23;26;22;27;20;27;19;26;17;26;16;25;15;25;13;26;12;26;10;27;3;10;0;3;-1;-1;-2;-1;-1;-1;2;0;6;1;18;5;17;6;17;7;18;8;19;9;20;10;21;11;21;13;22;14;22;15;22;16;22;17;23;18;23;19;24;20;24;21;24;22;25;23;25;23;27;23;28;24;30;24;31;26;32;27;33;29;34;30;34;30;35;30,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
38392790,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;13;6;13;1;14;-4;15;-9;17;-13;18;-16;20;-18;22;-19;23;-19;24;-19;24;-18;24;-17;23;-14;21;-12;18;-10;15;-9;11;-8;7;-8;2;-9;-1;-11;-4;-13;-5;-15;-7;-17;-6;-20;-6;-22;-2;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;15;-2;16;-5;18;-8;19;-10;19;-12;18;-13;16;-13;14;-12;12;-10;9;-8;8;-4;7;0;7;5;7;9;9;12;11;15;13;18;15;20;18;22;20;22;22;22;23;21;24;20;23;19;22;18;20;-123;0;-14;18;-14;17;-13;15;-13;15;-14;15;-14;16;-13;17;-11;18;-10;18;-8;17;-8;17;-8;16;-9;16;-9;17;-9;18;-8;18;-7;18;-7;17;-7;16;-7;15;-8;15;-8;15;-8;16;-8;16;-8;16;-7;15;-8;14;-8;14;-3;4;-1;1;0;-1;0;-1;0;-1;-2;1;-5;4;-14;10;-15;10;-16;10;-16;9;-16;9;-16;9;-16;8;-17;7;-18;7;-18;7;-19;7;-19;7;-18;8;-17;8;-17;7;-17;7;-17;7;-18;7;-18;8;-18;10;-17;11;-16;12;-15;12;-15;12;-16;12;-17;13;-18;14;-18;15;-123;0;46;13;46;13;46;13;45;13;43;13;42;12;41;11;40;10;40;9;39;9;39;9;38;9;38;9;37;9;37;9;36;9;36;10;35;10;35;11;34;12;32;12;30;13;29;13;28;13;27;14;26;14;25;16;23;17;8;6;2;2;-1;-1;-2;0;-1;-1;2;-1;7;-1;19;-1;19;0;19;1;20;2;21;2;22;3;24;4;25;5;25;6;26;7;27;7;27;8;28;8;29;9;30;10;31;10;32;11;32;12;33;12;34;11;36;11;38;11;40;11;41;11;43;12;44;12;45;12;45;12,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
38592483,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;1;10;4;8;8;6;11;4;14;3;17;2;19;2;21;3;22;3;22;3;22;4;21;5;19;5;17;6;14;5;12;4;9;2;7;0;5;-3;4;-6;4;-9;4;-11;5;-13;6;-14;7;-15;2;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;1;-10;6;-12;5;-14;4;-16;3;-17;1;-17;0;-16;-2;-15;-3;-13;-3;-11;-3;-9;-2;-7;0;-5;3;-3;6;-2;9;-1;11;-1;14;-1;17;-2;20;-3;22;-4;23;-4;24;-5;24;-5;23;-5;21;-4;20;-119;0;-18;-4;-18;-3;-17;-3;-17;-3;-17;-2;-17;-2;-16;-2;-16;-1;-16;-1;-15;0;-15;0;-15;1;-15;1;-15;1;-15;1;-16;1;-16;1;-15;1;-15;1;-15;1;-15;0;-14;0;-14;0;-14;0;-14;0;-14;-1;-13;-1;-13;-2;-5;-1;-2;-1;0;0;0;0;0;0;-2;-1;-5;-2;-14;-4;-14;-4;-13;-5;-13;-6;-13;-6;-13;-6;-13;-7;-13;-7;-13;-8;-13;-8;-13;-8;-13;-8;-13;-8;-13;-8;-13;-7;-13;-8;-13;-8;-13;-8;-13;-8;-14;-7;-14;-7;-15;-7;-15;-6;-15;-6;-16;-6;-16;-5;-17;-5;-17;-5;-119;0;7;35;7;34;7;34;7;33;7;32;7;32;7;31;6;30;6;29;6;28;6;28;6;28;6;28;6;28;6;27;5;27;5;27;4;26;3;26;2;25;1;25;1;24;0;23;0;23;-1;22;-2;22;-4;22;-5;21;-2;7;-1;2;0;-1;-1;-1;-1;-1;0;1;2;4;7;11;7;12;7;13;6;14;6;14;6;15;6;16;6;17;6;18;6;19;5;20;5;20;5;21;5;22;5;23;5;23;5;24;5;24;5;25;5;26;6;27;6;28;6;30;7;31;7;31;7;32;8;33;8;34,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
38795238,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;5;-10;1;-10;-4;-10;-8;-11;-11;-12;-14;-13;-16;-15;-18;-16;-18;-17;-18;-18;-18;-18;-17;-18;-15;-17;-13;-16;-11;-14;-9;-11;-8;-8;-7;-5;-7;-1;-7;2;-8;5;-10;7;-11;9;-13;10;-15;10;-4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;11;3;12;5;13;8;13;10;12;11;11;13;10;13;8;13;7;12;5;10;4;7;4;4;5;1;5;-3;7;-6;8;-9;11;-12;13;-14;15;-16;17;-17;19;-17;20;-18;20;-17;20;-16;19;-15;17;-14;-127;0;10;16;10;16;10;15;10;14;10;14;11;13;11;13;11;12;12;11;12;10;12;10;13;10;13;10;13;10;13;10;13;10;13;9;13;9;12;9;12;9;12;8;12;8;12;8;12;8;11;8;11;8;11;8;10;9;3;3;1;1;-1;-1;-1;-1;-1;-1;0;1;1;4;3;13;2;14;1;14;1;14;0;15;0;15;0;15;0;15;-1;15;-1;15;-1;15;-1;15;0;15;0;15;0;15;0;15;0;15;1;15;1;15;2;15;3;15;4;15;4;15;5;15;5;16;6;16;7;16;8;16;-127;0;23;-31;22;-31;22;-31;21;-30;20;-30;20;-29;19;-29;18;-28;16;-28;16;-27;15;-27;15;-27;15;-27;15;-27;14;-27;14;-27;15;-26;15;-26;15;-25;15;-24;15;-23;15;-22;15;-21;15;-20;15;-19;15;-18;16;-17;16;-16;6;-6;1;-2;-1;0;-1;0;-1;0;0;-2;2;-5;7;-13;8;-13;9;-14;10;-14;10;-14;11;-15;12;-15;12;-16;13;-16;14;-17;15;-17;16;-17;16;-17;17;-18;18;-18;18;-19;19;-19;19;-20;19;-21;19;-22;19;-23;20;-24;20;-26;21;-27;22;-28;22;-29;23;-30;23;-31,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
38994302,-47,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;1;-12;-3;-11;-7;-9;-11;-8;-15;-8;-18;-8;-20;-9;-22;-10;-23;-11;-23;-12;-22;-12;-21;-12;-19;-12;-17;-12;-14;-10;-12;-8;-10;-6;-8;-3;-7;1;-7;4;-8;7;-9;9;-10;11;-12;12;-13;12;-4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;-1;11;-4;12;-3;15;-1;16;0;17;2;17;4;16;5;14;6;12;6;10;5;8;3;6;1;5;-2;4;-6;4;-9;4;-13;5;-16;6;-19;7;-21;8;-23;9;-24;11;-25;11;-24;11;-23;11;-22;10;-20;-117;0;18;5;16;5;15;5;14;6;14;7;16;7;17;6;18;4;17;2;16;1;14;1;14;2;14;3;15;3;16;2;17;1;16;0;15;-1;13;0;12;1;12;2;13;3;14;3;15;2;14;1;13;1;12;1;11;2;4;0;1;0;-1;0;-1;-1;-1;-1;1;0;3;2;10;8;10;9;10;9;10;10;10;10;10;9;9;9;8;10;8;11;8;12;9;13;10;12;10;12;10;11;9;10;8;10;8;11;9;12;10;12;12;11;13;10;14;8;13;7;12;8;12;8;13;10;15;10;16;11;-117;0;0;-39;1;-40;1;-40;2;-39;2;-37;2;-36;0;-34;-1;-33;-2;-33;-2;-33;-2;-33;-1;-33;-1;-32;-1;-31;-1;-31;-1;-30;-1;-30;-1;-30;0;-30;1;-30;2;-29;3;-27;3;-26;3;-25;4;-24;4;-24;6;-24;7;-24;2;-9;1;-3;-1;0;0;0;-1;0;-1;-2;-1;-6;-2;-16;-2;-16;-1;-16;-1;-16;-1;-17;-1;-19;-1;-20;0;-21;1;-22;2;-22;2;-23;2;-23;2;-24;2;-25;3;-26;3;-27;4;-28;4;-28;3;-28;2;-29;1;-30;1;-32;1;-34;1;-36;2;-37;2;-38;2;-38;2;-38,EXP_S081,ZONE_01,perturbation_objet,4.7,perturbation_objet,porte ou objet
