timestamp_us,rssi,channel,mac,csi_len,csi_data,experiment_id,zone_id,scenario,distance_tx_rx_m,ground_truth,comment,marker_state
4512583992,-53,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-1;-16;-4;-21;-6;-24;-7;-27;-7;-29;-7;-30;-6;-29;-5;-28;-5;-25;-4;-22;-4;-19;-4;-14;-4;-10;-4;-5;-6;-1;-7;3;-10;7;-12;9;-15;10;-17;10;-18;9;-19;9;-18;7;-18;5;-17;3;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;5;-9;21;-11;22;-14;23;-15;23;-17;22;-17;20;-16;17;-14;14;-11;11;-7;9;-2;6;4;5;10;4;15;5;20;5;24;6;27;8;29;9;30;9;30;10;29;10;27;9;24;8;20;5;16;2;12;-1;118;0;-22;14;-22;14;-21;14;-20;14;-20;14;-19;15;-18;15;-17;15;-16;14;-15;14;-15;14;-15;14;-15;14;-14;14;-14;14;-14;14;-14;14;-14;13;-14;13;-14;12;-14;12;-14;11;-13;11;-13;10;-13;9;-14;8;-14;8;-15;7;-6;2;-2;0;0;-1;0;-1;0;-1;-2;1;-6;4;-16;12;-17;11;-17;11;-18;10;-19;10;-19;10;-20;10;-21;9;-21;9;-22;9;-22;9;-23;8;-23;8;-23;8;-23;8;-23;8;-23;8;-23;8;-23;9;-23;9;-23;10;-23;10;-23;11;-23;11;-24;12;-24;13;-24;14;-24;14;118;0;35;-26;34;-26;33;-26;31;-26;29;-26;27;-26;26;-26;24;-26;22;-26;21;-26;19;-25;18;-25;17;-25;17;-25;16;-25;15;-25;15;-24;14;-23;14;-23;14;-22;13;-21;13;-20;12;-20;12;-19;11;-18;11;-17;12;-16;12;-16;4;-6;1;-2;-1;0;-2;0;-1;0;3;-2;10;-4;28;-10;29;-9;30;-8;30;-7;31;-6;31;-6;32;-6;33;-6;33;-6;34;-6;34;-7;34;-7;35;-7;35;-7;35;-7;35;-8;35;-9;35;-10;35;-11;35;-13;35;-14;35;-16;36;-17;36;-19;37;-21;37;-22;37;-23;37;-24,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
4512785224,-55,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-7;7;-10;12;-13;16;-15;19;-16;20;-16;21;-16;21;-15;19;-13;17;-12;15;-10;12;-7;8;-5;4;-2;0;1;-4;4;-8;7;-11;9;-13;12;-15;13;-15;14;-15;14;-14;14;-13;13;-11;12;-10;3;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;5;-3;22;-4;24;-5;27;-5;28;-6;28;-7;28;-7;26;-6;22;-5;18;-3;13;-1;7;2;2;5;-4;8;-9;11;-14;14;-18;16;-21;17;-24;18;-26;18;-27;17;-26;15;-25;13;-22;11;-19;7;-15;5;-11;98;0;23;19;23;18;22;18;22;17;22;16;22;15;21;14;21;14;21;13;20;13;20;12;20;12;20;12;20;12;20;12;19;12;19;12;18;13;17;13;17;14;16;14;16;13;15;13;14;13;13;14;12;15;11;15;10;16;3;6;0;1;-1;-1;-2;-1;-1;-1;2;0;8;1;22;5;22;7;22;8;22;10;22;11;22;12;21;13;21;14;21;16;21;17;21;18;21;18;20;18;20;19;19;19;19;19;19;20;19;20;19;20;20;20;20;19;20;19;21;19;21;19;22;20;22;20;23;20;23;20;98;0;-24;-24;-23;-24;-23;-22;-22;-21;-22;-19;-22;-17;-22;-15;-22;-14;-22;-12;-22;-11;-21;-10;-21;-9;-21;-8;-21;-7;-21;-6;-22;-6;-22;-5;-21;-5;-21;-5;-20;-4;-20;-4;-20;-3;-20;-3;-20;-3;-19;-4;-19;-5;-19;-6;-19;-6;-7;-3;-2;-1;0;0;1;1;0;0;-3;-3;-8;-9;-21;-24;-20;-25;-19;-26;-17;-27;-17;-28;-16;-29;-16;-30;-15;-31;-14;-31;-14;-32;-13;-32;-13;-32;-13;-32;-13;-32;-13;-32;-13;-32;-13;-31;-13;-31;-14;-30;-15;-30;-17;-29;-18;-29;-19;-30;-20;-29;-20;-28;-21;-28;-22;-27;-23;-26,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
4512982266,-54,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;12;-3;18;-5;23;-7;27;-8;29;-9;30;-9;30;-9;28;-9;26;-8;22;-7;18;-5;13;-4;7;-3;2;-3;-4;-2;-9;-2;-14;-3;-18;-4;-21;-6;-22;-7;-22;-9;-22;-10;-20;-10;-17;-10;-15;-10;-4;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6;0;-24;0;-27;1;-30;2;-32;3;-33;5;-32;5;-30;6;-27;5;-22;3;-17;1;-11;-3;-5;-7;1;-11;6;-15;10;-19;15;-22;18;-25;20;-27;21;-27;22;-27;22;-26;21;-23;19;-19;16;-13;12;-9;10;106;0;-12;-11;-11;-12;-11;-12;-11;-12;-11;-11;-12;-11;-12;-10;-11;-10;-11;-9;-10;-9;-10;-9;-10;-9;-10;-9;-10;-9;-10;-9;-10;-9;-9;-9;-9;-9;-8;-9;-8;-10;-8;-10;-8;-9;-7;-9;-7;-9;-6;-9;-5;-9;-4;-10;-4;-10;-2;-4;-1;-2;0;0;0;0;0;0;-2;-1;-4;-2;-11;-4;-11;-5;-12;-6;-12;-6;-12;-7;-12;-7;-11;-8;-11;-8;-11;-9;-11;-10;-11;-11;-11;-11;-11;-11;-11;-11;-10;-11;-10;-11;-10;-12;-10;-12;-10;-12;-11;-12;-11;-12;-11;-12;-11;-12;-11;-12;-11;-13;-12;-13;-12;-13;-12;-13;106;0;13;16;12;16;12;15;12;14;12;13;12;12;12;11;13;10;13;10;12;9;12;9;12;8;11;7;12;6;12;6;12;6;12;6;12;6;11;6;11;6;10;5;10;5;10;5;10;4;10;5;9;5;8;5;8;5;2;2;0;0;-1;-1;-1;-1;-1;-1;1;1;2;5;7;15;7;15;6;15;5;16;5;16;5;17;4;17;4;18;4;18;3;18;3;18;3;18;3;18;4;18;4;18;4;18;4;17;4;17;5;17;6;16;7;17;8;17;8;17;9;17;9;17;10;17;11;17;11;16,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
4513183148,-53,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-8;3;-8;9;-9;15;-11;19;-12;22;-13;24;-14;24;-14;23;-14;21;-13;18;-12;15;-9;12;-7;8;-4;5;0;2;4;-1;8;-2;12;-3;15;-3;17;-2;18;-1;17;0;16;2;15;3;13;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;-1;20;-4;23;-4;26;-4;29;-3;31;-2;31;0;30;1;28;2;25;2;20;2;16;0;11;-2;5;-6;0;-10;-4;-14;-7;-19;-10;-23;-12;-26;-14;-29;-15;-31;-15;-32;-14;-32;-13;-30;-12;-27;-11;-23;-10;-19;125;0;25;-11;24;-10;24;-10;24;-9;23;-9;23;-9;22;-10;21;-10;20;-10;19;-10;19;-9;19;-9;19;-9;19;-9;18;-9;18;-8;17;-7;17;-6;17;-5;17;-4;17;-4;17;-4;16;-4;15;-3;15;-1;15;0;15;1;15;2;5;1;1;0;-1;-1;-2;0;-1;0;1;-2;6;-4;17;-11;18;-10;19;-10;20;-9;20;-9;20;-9;20;-9;21;-8;22;-7;23;-7;24;-7;25;-7;24;-7;24;-7;23;-6;23;-5;24;-5;24;-5;25;-6;25;-7;25;-8;25;-8;25;-8;25;-8;26;-8;26;-9;27;-10;27;-10;125;0;-42;-8;-41;-7;-40;-6;-39;-5;-37;-4;-35;-2;-33;0;-32;1;-30;3;-29;3;-28;4;-27;5;-26;6;-24;6;-24;7;-23;8;-23;8;-22;8;-21;8;-20;8;-18;8;-17;8;-17;9;-16;9;-16;9;-16;8;-16;8;-16;7;-6;2;-2;0;0;-1;1;1;0;0;-4;-2;-12;-7;-32;-18;-31;-19;-31;-20;-30;-21;-30;-22;-31;-22;-31;-23;-32;-24;-32;-25;-32;-26;-31;-26;-31;-25;-32;-25;-32;-25;-32;-25;-33;-24;-33;-24;-33;-23;-33;-21;-34;-20;-36;-18;-37;-17;-39;-16;-40;-16;-41;-14;-41;-13;-42;-12;-42;-11,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
4513382398,-55,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-3;-29;-4;-33;-4;-36;-4;-37;-3;-36;-3;-34;-2;-31;-1;-27;-1;-22;-1;-17;-2;-11;-4;-5;-6;0;-10;5;-13;9;-17;12;-20;13;-24;13;-26;12;-27;9;-27;6;-25;3;-22;0;-18;-2;-14;-3;-4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;8;-4;32;-6;34;-8;35;-10;34;-11;33;-11;30;-10;26;-8;22;-4;17;2;14;7;10;14;8;20;8;26;8;30;8;33;9;36;10;36;11;36;11;34;11;31;9;26;7;21;4;16;-1;11;-6;7;-10;-121;0;-14;3;-14;3;-14;3;-14;4;-14;4;-13;5;-12;5;-12;5;-11;5;-11;5;-12;5;-12;6;-12;6;-12;6;-11;6;-11;6;-12;6;-12;6;-13;6;-13;6;-12;6;-12;6;-12;5;-12;5;-12;4;-13;3;-13;3;-14;2;-5;0;-2;0;0;-1;0;-1;0;-1;-1;0;-3;2;-8;7;-9;7;-9;7;-10;7;-10;6;-10;6;-10;5;-11;4;-12;4;-13;4;-13;4;-13;4;-13;4;-13;3;-12;2;-13;2;-13;2;-14;2;-14;2;-14;3;-13;3;-13;2;-14;2;-14;2;-15;3;-15;3;-15;4;-15;4;-121;0;13;-23;12;-22;11;-22;10;-21;8;-21;7;-21;6;-20;5;-20;4;-19;3;-19;2;-18;1;-18;0;-17;-1;-17;-1;-17;-1;-17;-1;-17;-1;-16;-1;-16;-2;-15;-2;-15;-3;-15;-3;-14;-3;-14;-2;-14;-2;-14;-1;-13;-1;-13;-1;-5;-1;-2;0;0;-2;0;-1;0;2;-2;6;-5;19;-14;19;-13;19;-13;20;-12;21;-12;21;-11;21;-11;22;-11;22;-12;22;-12;22;-12;22;-12;22;-12;22;-12;22;-12;21;-12;21;-13;20;-13;19;-14;19;-15;19;-16;18;-17;18;-18;17;-19;17;-20;16;-21;15;-22;15;-22,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
4513582497,-55,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;10;23;12;28;14;30;16;31;18;31;18;29;18;27;16;23;14;20;10;16;6;12;2;9;-4;6;-9;3;-14;1;-18;-1;-21;-3;-24;-4;-25;-5;-26;-6;-25;-7;-23;-7;-20;-8;-17;-8;-14;-9;-4;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6;5;-25;21;-27;22;-28;23;-28;24;-26;23;-24;22;-21;19;-17;14;-12;9;-7;3;-2;-3;2;-9;7;-16;10;-22;12;-27;13;-31;14;-35;13;-37;12;-38;10;-36;7;-34;6;-29;4;-23;3;-16;3;-8;4;-2;69;0;22;2;21;3;21;3;21;3;20;3;20;2;19;2;18;2;18;2;18;2;17;3;17;3;17;3;17;3;17;3;17;4;17;4;16;5;16;6;16;6;15;6;15;7;14;7;13;8;12;8;12;9;11;10;10;11;3;4;1;1;-1;-1;-1;0;-1;0;0;-2;3;-5;10;-13;11;-13;12;-12;13;-12;14;-11;15;-10;16;-9;17;-8;18;-7;19;-7;19;-6;20;-5;20;-4;19;-3;19;-2;20;-2;20;-1;20;-1;20;-1;20;0;20;0;21;0;21;1;21;1;22;1;23;2;23;1;23;1;69;0;-18;7;-18;6;-17;6;-16;5;-15;6;-14;6;-14;6;-14;6;-13;6;-13;5;-12;5;-11;4;-10;5;-10;5;-10;5;-9;5;-9;5;-9;4;-8;4;-8;4;-7;4;-7;4;-7;4;-7;4;-7;4;-7;3;-7;3;-7;3;-3;1;-1;0;0;-1;0;-1;0;-1;-2;1;-6;3;-15;10;-15;9;-15;8;-16;7;-16;7;-17;6;-17;6;-18;5;-18;4;-17;4;-17;4;-17;4;-18;4;-18;3;-18;3;-18;3;-17;3;-17;3;-17;3;-17;4;-17;5;-18;5;-18;5;-18;5;-18;6;-18;6;-18;6;-18;7,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
4513782333,-55,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;22;3;25;2;28;3;29;3;30;3;29;3;27;3;24;3;21;3;17;2;13;0;8;-1;4;-3;0;-6;-3;-9;-6;-11;-7;-14;-8;-16;-8;-18;-7;-20;-6;-20;-4;-19;-3;-18;-1;-16;0;-14;0;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6;-4;-25;-16;-25;-19;-25;-22;-24;-23;-22;-24;-19;-23;-16;-21;-13;-17;-10;-12;-9;-6;-8;0;-8;6;-10;12;-12;17;-14;21;-16;24;-18;26;-20;27;-20;27;-20;26;-18;24;-16;21;-12;18;-7;14;-2;11;3;9;-126;0;-5;-25;-5;-25;-5;-25;-5;-24;-6;-24;-7;-23;-8;-21;-8;-20;-7;-19;-7;-19;-7;-19;-8;-19;-9;-19;-9;-19;-9;-18;-9;-17;-8;-17;-7;-17;-7;-18;-7;-18;-7;-18;-7;-18;-7;-18;-7;-17;-6;-18;-4;-18;-4;-19;-3;-19;-1;-7;-1;-3;0;0;0;1;0;0;-2;-2;-6;-7;-14;-19;-14;-20;-13;-22;-12;-23;-11;-23;-10;-23;-8;-24;-7;-25;-6;-26;-5;-28;-5;-28;-5;-28;-4;-27;-4;-26;-3;-26;-2;-26;-1;-27;-2;-27;-2;-27;-3;-26;-3;-25;-3;-25;-3;-25;-2;-26;-3;-27;-4;-27;-5;-27;-6;-27;-126;0;27;35;26;34;26;33;25;30;25;28;25;26;26;24;26;23;25;21;24;20;24;18;23;17;23;15;23;14;23;13;23;12;22;12;21;11;20;11;20;9;19;8;18;7;18;7;18;7;18;7;17;7;16;8;15;8;5;3;1;0;-1;-1;-1;-3;-1;-2;1;3;4;12;12;34;11;35;10;35;9;36;8;37;8;37;7;38;6;39;5;39;5;39;5;39;6;39;6;39;6;39;7;39;7;39;8;38;9;37;11;37;13;37;15;38;16;39;18;39;19;38;20;38;22;37;24;37;25;37,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
4513982309,-55,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;20;0;24;0;27;0;29;-1;29;-2;28;-3;26;-3;23;-3;19;-2;15;0;11;1;7;3;2;6;-2;8;-5;11;-8;13;-11;15;-13;15;-14;16;-15;15;-15;14;-15;12;-14;10;-13;6;-12;4;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;11;24;12;25;13;27;14;27;14;26;13;23;12;20;9;16;6;11;3;5;-1;0;-4;-6;-8;-11;-12;-16;-16;-19;-19;-21;-22;-22;-24;-23;-25;-22;-25;-20;-23;-17;-21;-15;-16;-12;-11;-9;-5;-6;0;-4;84;0;20;-32;20;-31;20;-30;20;-30;19;-29;19;-28;18;-27;17;-27;17;-26;16;-26;16;-26;16;-26;16;-26;16;-26;16;-25;17;-25;18;-24;18;-24;19;-23;19;-22;19;-21;19;-21;19;-20;19;-19;20;-18;21;-17;22;-15;23;-14;8;-5;2;-2;-1;0;0;1;0;0;-2;-3;-4;-9;-8;-26;-7;-26;-5;-27;-3;-28;-1;-28;1;-29;2;-29;4;-30;6;-30;8;-31;9;-31;10;-31;11;-30;12;-30;13;-29;14;-29;15;-29;15;-29;16;-29;16;-29;16;-29;17;-29;18;-30;19;-30;19;-31;19;-32;19;-32;19;-33;84;0;-3;29;-3;28;-2;27;-2;26;-1;24;0;23;1;22;2;22;2;21;2;20;2;18;3;17;4;16;4;15;5;15;5;14;4;14;4;13;4;13;4;11;5;11;5;10;6;10;6;10;6;10;5;10;5;10;5;10;1;3;0;1;-1;-1;-1;-2;0;-1;0;3;0;11;0;31;-2;31;-4;31;-5;30;-7;31;-8;31;-9;31;-10;31;-11;31;-11;30;-12;30;-12;29;-12;29;-12;29;-12;29;-12;28;-12;28;-11;27;-10;27;-9;28;-8;29;-8;29;-7;30;-7;30;-6;30;-5;30;-4;30;-3;31,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
4514185877,-56,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-9;-19;-11;-22;-12;-25;-13;-26;-14;-26;-13;-25;-12;-23;-11;-21;-9;-18;-8;-14;-6;-10;-4;-5;-2;-1;0;4;1;8;1;12;1;16;1;18;0;20;-1;20;-2;20;-3;18;-4;16;-5;13;-6;10;-2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7;2;-27;8;-29;8;-31;7;-31;6;-31;5;-29;3;-26;2;-21;2;-15;2;-9;2;-3;4;3;6;9;9;14;11;18;14;21;16;23;17;24;18;24;18;23;17;22;15;19;13;15;9;11;5;7;0;4;-3;122;0;-23;13;-23;13;-23;13;-22;14;-21;15;-20;15;-19;15;-17;15;-17;14;-17;14;-17;15;-16;15;-16;16;-15;16;-14;16;-14;16;-14;15;-15;15;-16;15;-16;15;-15;15;-15;15;-14;14;-15;14;-15;13;-16;12;-17;12;-18;11;-7;4;-2;1;0;-1;0;-2;0;-1;-2;1;-6;6;-16;17;-17;17;-18;17;-19;17;-19;16;-20;15;-21;14;-22;13;-23;12;-25;12;-25;12;-25;12;-25;12;-24;11;-24;9;-24;9;-25;9;-25;9;-25;10;-25;11;-24;11;-24;11;-24;10;-25;11;-26;11;-26;12;-26;13;-25;14;122;0;17;-33;16;-33;15;-32;13;-32;11;-31;9;-30;7;-30;6;-29;5;-29;4;-27;2;-26;1;-25;-1;-24;-2;-24;-2;-24;-3;-24;-3;-23;-3;-22;-3;-21;-4;-20;-4;-19;-5;-18;-6;-18;-6;-18;-6;-18;-6;-18;-5;-17;-5;-17;-2;-7;-1;-2;0;0;-2;1;-2;0;3;-3;11;-7;31;-19;31;-17;31;-16;32;-15;32;-15;33;-15;34;-14;34;-14;34;-13;34;-13;33;-14;33;-15;33;-16;32;-16;32;-16;31;-16;30;-17;29;-18;28;-19;27;-21;26;-23;26;-25;25;-26;24;-27;23;-29;21;-30;20;-32;19;-33,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
4514382708,-55,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;24;5;29;6;32;6;34;5;34;5;32;4;30;3;26;3;21;2;15;2;10;2;3;3;-3;4;-9;4;-15;5;-20;5;-24;5;-27;5;-29;4;-29;3;-28;2;-26;1;-23;0;-19;-2;-16;-3;-4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;28;11;30;12;31;13;31;13;30;13;28;12;24;10;19;7;14;5;7;1;1;-2;-6;-6;-12;-10;-18;-13;-23;-16;-27;-17;-30;-18;-31;-18;-32;-17;-31;-16;-29;-14;-24;-11;-19;-9;-12;-6;-5;-4;1;-1;93;0;17;-11;17;-11;16;-11;16;-10;15;-10;15;-10;14;-10;14;-10;14;-10;13;-10;13;-11;13;-11;13;-11;13;-10;13;-10;13;-10;13;-10;13;-10;13;-9;13;-9;14;-8;14;-8;14;-8;14;-7;14;-7;15;-6;15;-5;15;-4;5;-2;1;-1;-1;0;-1;0;-1;0;0;-2;1;-5;3;-14;4;-14;5;-13;6;-13;7;-13;8;-13;8;-13;9;-12;10;-12;10;-12;11;-11;12;-11;12;-11;12;-11;13;-11;13;-10;13;-10;14;-10;14;-10;14;-10;15;-10;15;-10;15;-11;16;-11;16;-11;16;-11;16;-11;17;-12;93;0;-8;16;-7;16;-6;16;-6;16;-5;15;-5;15;-4;14;-3;14;-3;13;-2;13;-2;13;-1;12;-1;12;0;12;1;12;1;12;1;12;1;12;1;12;1;12;1;12;2;11;2;11;2;11;2;11;1;11;1;11;0;11;0;4;-1;1;-1;-1;0;-2;0;-1;-1;1;-4;5;-10;16;-11;15;-12;15;-13;14;-13;14;-14;13;-14;13;-14;13;-15;13;-15;13;-15;12;-15;12;-15;11;-15;11;-15;11;-15;11;-14;11;-13;11;-13;12;-12;12;-12;13;-11;13;-11;14;-10;14;-10;15;-9;15;-9;16;-9;16,empty,EXP_S122,ZONE_02,mouvement_faible,4.1,mouvement_faible,mouvement lent
